occupation,count
Student (Medical),7
Student T C D,7
Student in Medicine,7
Student of Engineering,7
Student or Scholar,7
Student-Theology,7
Subpostmistress,7
Supervisor of Inland Revenue,7
Surface-Man,7
Surveyors Assistant,7
T Scholar,7
Tabacco Spinner,7
Tailor (Apprentice),7
Tailor Merchant,7
Tailor Wife,7
Tally Clerk,7
Tea Packer,7
Tea Planter,7
Teacher Christian Brother,7
"Teacher Classies, Eng. and Scientific Courses",7
Teacher Nat. School,7
Teacher of General Subjects,7
Teacher of Singing,7
Teaching School,7
Tel Messenger,7
Telegraph Assistant,7
Telegraph Clerk G P O,7
Telephone Worker,7
Tenter Linen,7
Theatrical Profession,7
Tiler,7
Timber Porter,7
Tinsman,7
Tinsmith's Daughter,7
Tobacco Cutter,7
Tobacco Factory Worker,7
Tobacco Pipe Finisher,7
Tobacconist's Assistant,7
Tram Guard,7
Tramp Musician,7
Traveller Draper,7
Trinity College Dublin Medical Student,7
Tweed Designer,7
Twister in Factory,7
Two Young,7
Typewriting Apprentice,7
Typist Clerk,7
Typist and Shorthand Clerk,7
Un Employed,7
Under Gardner,7
Under Graduate R U I,7
Under Graduate T C D,7
Underg R.U.I.,7
Unemployed Teacher,7
Unemployment,7
Upholsterers,7
Van - Man,7
Van Man Labourer,7
Vice Folders,7
Victuallers Daughter,7
Vintners Daughter,7
Visoter,7
Vitualler,7
W,7
Wages,7
Waitress Restaurant,7
Warder Irish Prison Service,7
Ware House Girl,7
Ware House Worker,7
Ware Room Machinest,7
Wareroom Porter,7
Warper-Linen,7
Watchmaker Apprentice,7
Weaver Domestic,7
Weaver Flax,7
Weaver in Linen,7
Weaver of Cambric,7
Weaver of Linnen,7
Weavers Linen,7
Wever,7
Wholesale Drapery,7
Widow No Occupation,7
Wife of Agr Labourer,7
Wife of Tailor,7
Winder (Mill),7
Winder Cotton,7
Winder Linnen,7
Winder in Tweed Factory,7
Wine Cooper,7
Wine Merchants Labourer,7
Wine Merchants Porter,7
Wine Spirit Merchant,7
Wireman,7
Wood Shipwright,7
Woodman,7
Woolen Knitter,7
Woolen Winder,7
Woollen Carder,7
Woollen Dyer,7
Woollen Warehouseman,7
Work Woman,7
Work of House,7
Worker in Bleach Green,7
Working Baker,7
Working Tailor,7
Working at Farm,7
Workmistress in National School,7
Works in Mill,7
Writer,7
Yard Labourer,7
Yarn Ruler,7
nothing,7
1st Class Nurse,6
2nd Officer,6
? Dealer,6
? Keeper,6
A Dealer,6
A Labouer,6
A Schooler,6
A Seamstress,6
Accountant Unemployed,6
Accountants,6
Accountants Assistant,6
Acricultural Labourer,6
Agl Farm Labourer,6
Agr Labourer Wife,6
Agr Servant,6
Agral Labourer,6
Agricl Laborer,6
Agricul-Labourer,6
Agricular Labourer,6
Agricull. Labourer,6
Agricultiral Labourer,6
Agricultl-Labourer,6
Agricultul Labourer,6
Agricultural (Labourer),6
Agricultural Daughter,6
