occupation,count
Porter in Mineral Water Works,1
Porter in National Bank,1
Porter in National Gallery,1
Porter in Newspaper Office,1
Porter in Oil Store,1
Porter in Paint Store,1
Porter in Paint and Oil Shop,1
Porter in Painting and Decorating Estate,1
Porter in Paper Store,1
Porter in Piano Firme,1
Porter in Printing Office,1
Porter in Ri Hospital,1
Porter in Ry,1
Porter in Salerooms,1
Porter in Saw Mill,1
Porter in Shop Boot,1
Porter in Soap Manufactures,1
Porter in Spirit Store,1
Porter in Steamshop Co.,1
Porter in Sweet Factory,1
Porter in Tailor's Shop,1
Porter in Tea Merchant,1
Porter in Tea Merchants Office,1
Porter in Telephone Co,1
Porter in Timber Merchants Office,1
Porter in Timber Yard,1
Porter in Timl Yard,1
Porter in Vegetable Mkt,1
Porter in Whisky Store,1
Porter in Wholesale Stores,1
Porter in Wine Cellor,1
Porter in Wine Merchant,1
Porter in Wine Stores,1
Porter in a Bank,1
Porter in a Deeph Shop,1
Porter in a Warehouse,1
Porter in at Grocer Shop,1
Porter in paper office,1
Porter in the Railway,1
Porter of Dheda Union,1
Porter of G. N. R,1
Porter of Gate Lodge,1
Porter of R A Institution,1
Porter of W. House,1
Porter of Workhorse,1
Porter of Yarn,1
Porter on Dock,1
Porter on Gray,1
Porter on Great Southern and Western Rly,1
Porter on Hardware Shop,1
Porter on Kingstown Railway,1
Porter on R.W,1
Porter or Packer in Store,1
Porter or Y er Railway,1
Porter the Union,1
Porter to Butcher,1
Porter to Cabinet Maker,1
Porter to Establishment Tailoring,1
Porter to Shiping Co,1
Porter to Stock Croker,1
Porter to Window Blind Factory,1
Porter to the U D C,1
Porter wine,1
"Porter, Fish",1
"Porter, Grocers",1
"Porter, Linen Yarn Store",1
"Porter, Trinity College",1
"Porter, in Rope Works",1
"Porter, unemployed",1
Porter-Auction,1
Porter-Bakery,1
Porter-Bindstore,1
Porter-Boot Shop,1
Porter-Butcher,1
Porter-Butchers,1
Porter-Chemist,1
Porter-Domestic,1
Porter-Domestic Servt,1
Porter-Draper,1
Porter-Egg Packer,1
Porter-Hatter,1
Porter-Leather Shop,1
Porter-Merchant,1
Porter-Mineral W Factory,1
Porter-Publican,1
Porter-Stationer,1
Porter-Sugar Store,1
Porter-Tea Warhouse,1
Porter-Warehouse,1
Porter-Wine Merchant,1
Porter-Yarn Mill Worker,1
Porter-compositior,1
Porter-in Butter Market,1
Porter-in Shop,1
Porter-in Store,1
Porter. Gt. N. Ry Coy,1
Porteren Shop,1
Porterer Grocer,1
Porterer at Bank,1
Porterer in Grocery Establishment,1
Porterer in Shop,1
Porteres,1
Porteror D.S,1
Porters,1
Porters Shop,1
Porters Tailor,1
Porters Tea Shop,1
Portery Proprietor,1
Portess and Novelist,1
Porther (Shop),1
Porting Bills,1
