occupation,count
Tobacionist,1
Toback Spiner,1
Tobackonist,1
Tobaco Cover,1
Tobaco Pipe Maker,1
Tobaco Roler in Factory,1
Tobaco Roller,1
Tobaco Spiner,1
Tobaco Spining,1
Tobaco Striker,1
Tobaco Striper,1
Tobaco Worker,1
Tobaco-Spiner,1
Tobacoa Spinner,1
Tobacoa Worker,1
Tobaconest,1
Tobaconest Messenger,1
Tobaconist Assist,1
Tobaconist Assistant,1
Tobaconist and Confectioner,1
Tobaconist and Mure Egent,1
Tobaconnist Apprentice,1
Tobacoo Operator,1
Tobbacco Assistant,1
Tobbacco Factory Employ,1
Tobbacco Folders,1
Tobbacco Pipe Maker,1
Tobbacco Striffer,1
Tobbacco Worker,1
Tobbacconists,1
Tobbace Spinner,1
Tobbaco Operative,1
Tobbaco Roller,1
Tobbaco Spiner,1
Tobbaco Stamper,1
Tobbaco Striper,1
Tobbaco Veighter,1
Tobbaconist Labourer,1
Tobbaconist Shopkeeper,1
Tobbcco Roler,1
Tobber Cattle,1
Tobbing Black Smith,1
Tobbocc Spinner,1
Tobbocco Spinner,1
Tobboco Pipe Finisher,1
Tobboco Striker,1
Tobboconist,1
Tobbornist,1
Tobcca Spiner,1
Tobcco Spiner,1
Tobe Business,1
Tobicconist,1
Toboca Spinner,1
Tobocco Manufactures Agt,1
Tobocco Roler,1
Tobocco Striper,1
Tobocco Stripper Unemployed,1
Tobocconist Asst,1
Tobocer Faitney,1
Toboco Spiner,1
Tocaccount Assistant,1
Tocl Collector and Farmer,1
Toco Frses man,1
Todd B?rus and Co Salesman,1
Todd Drawer,1
Toe Puller in Spinning Mill,1
Toe Spinner,1
Toe Spinner in Felt Work Factory,1
Toe Spinner in Felt Wors Factory,1
Tofer,1
Toffer in Mill,1
Toiler,1
Toilet Soap Maker,1
Toiloreas,1
Tointered and Requests,1
Toipe Dresser,1
Tolder W Rom,1
Toldir,1
Tolger,1
Toll Clark,1
Toll Collecto,1
Toll Collector Bond Public Work's,1
Toll Collector Bridge,1
"Toll Collector, Board of Works",1
Toll Collector-Board of Works-Shannon nav,1
Toll Collr and Weighmaster,1
Tollors,1
Tolls Collector,1
Tolls-Master,1
Tollyman of Cargo,1
Tomber Yard Labourer,1
Tombourer,1
Tonic Sol Fa Teacher,1
Tons Rover Millworker,1
Too Carder,1
Too Old and Feeble,1
Too Old and Work,1
Too Youney,1
Too Young Yet,1
Too Young for School Yet,1
Too Young for any Occupation,1
Too old for work,1
Tool - Boy M.G.W.R,1
Tool - Smith,1
Tool Dealer,1
Tool Fitter,1
Tool Grinder,1
Tool Maker-Mechanic,1
Tool-Smith,1
Toolmaker,1
Toolman Domestic Servant,1
Toorlaw Guardian,1
Tootman Domestic,1
Tooyoung,1
Top Bitter Brewer,1
Top Boat Manufacturer,1
Top Cutter,1
Top Cutter (Boot),1
Top Cutter Boot Trade,1
Top Fitter,1
Top Server,1
Top Sewer H F,1
Top Sewer at Hankichefs,1
Top Sewer of Hkfs,1
Top Sower Hfs,1
Top Tinsmith,1
Tope Dresser,1
Topin Weaver,1
Topper,1
Toprewer,1
Topsower or Overseamer,1
Torage Dealer,1
Tork Butcher,1
Tork Store Time Keeper,1
Tormant,1
Torment the House,1
Torn Winder,1
Tough at Home,1
Toul Dealer,1
Tourch Maker,1
Tourist Conductor,1
Tourist County-Clerk,1
Tourist Guide and Farmer,1
Tourist Householder,1
Tourist agent clerk,1
Tourner,1
Tourner Out,1
Tourner out in Shirt Factory,1
Tournerout in Factory,1
Tousekeeper,1
Tousnen Out,1
Touth,1
Tow Bailer in Mill,1
Tow Bailer in Spinning Mill,1
Tow Bailerin Spinning Mill,1
Tow Boiler in Mill,1
Tow Boy in the Machine Room,1
Tow Carder Mill Worker,1
Tow Carrier,1
Tow Comber,1
Tow Doffer,1
Tow Drawer in Stone,1
Tow Laboure,1
Tow Labourer,1
Tow Larter,1
Tow Machine,1
Tow Meter,1
Tow Overlooker,1
Tow Preparer in Factory,1
Tow Preparing,1
Tow Preparing Master,1
Tow Preperer,1
Tow Realler,1
Tow Reller,1
Tow Roller,1
Tow Rover,1
Tow Scutcher,1
Tow Soartes,1
Tow Spiner,1
Tow Sppinner,1
Tow Spreader,1
Tow Store,1
Tow Store Labourer,1
Tow Store Man,1
Tow Storeman,1
Tow doffer,1
Tow-Yarn Reeler,1
Tow-Yarn Spinner,1
Towe Porter,1
Towe Rover,1
Towel Cutter,1
Towel Dealer,1
Towel Knotter,1
Towel Weaver,1
Towell Folder,1
Towens Winder,1
Tower,1
Towl Butcher,1
Towl Flucker,1
Towl Plucker,1
Towl Sticker,1
Towle Poulterer,1
Town ? Pon Law Guardian,1
Town Borter,1
Town Clerk Arbor Curch,1
Town Clerk Builder,1
Town Clerk Clerk of Education Commisioner General Solicitors Clerk,1
Town Clerk Coleman,1
Town Clerk Kells,1
Town Clerk Newry,1
Town Clerk Strabane Urban District Council,1
Town Clerk and L Owner,1
Town Clerk and Printer Stationer,1
Town Clerk and Solicitor's Managing Clerk,1
Town Clerk and Solra Mang Clerk,1
Town Clerk of Bray Member Institute Journalist,1
Town Clerk of Limerick,1
Town Clerk of Nenagh,1
"Town Clerk, Auctioneer",1
"Town Clerk, Distict Registrar of Marriage, Secretary School Attendance Committee Corn Agent",1
"Town Clerk, Grocer",1
Town Commissioner Auctioneer and Merchant,1
Town Commissioner Egg Merchant,1
