occupation,count
Glass Battle Blander,1
Glass Beveler,1
Glass Bevelling,1
Glass Blour,1
Glass Bottle Bower,1
Glass Bottle Gatherer,1
Glass Bottle Wetter Off,1
Glass Cutter and Glazier Employed,1
Glass Cutter and Glazs,1
Glass Dealer,1
Glass Designer,1
Glass Desinger,1
Glass Embasser,1
Glass Embroider,1
Glass Gilder,1
Glass Jeweller and Silverer,1
Glass Leveler,1
Glass Maker,1
Glass Manufacturer,1
Glass Manufacturer Clerk,1
Glass Oil and Col Mandes Commerl Traveller,1
Glass Oil and Color Dealer,1
Glass Oil and Colour Merchant,1
Glass Paints and Oils House Keeper,1
Glass Silverer,1
Glass Silverer Branch and Brilliant ?,1
Glass Worker,1
Glass Works,1
Glass Writer,1
Glass and China Agent,1
Glass and China Dealer,1
Glass and China Merchant Auctioneer,1
Glass and China Merchant J.P.,1
Glass and China Merchant or Ironmonger,1
Glass and China Mercht,1
Glass and China Shopkeeper,1
Glass and Paper General Merchant,1
Glass and Paper Merchant House Painter and Decorator,1
Glass and pt Traveller,1
"Glass, Bottle Maker",1
"Glass, Oil and Color Merchant",1
Glass-Painter,1
Glass. Oil and Colour Merchant,1
Glassblower,1
Glasser,1
Glassfitter,1
Glassingraver,1
Glayder,1
Glazeer's,1
Glazeir,1
Glazer (Labourer),1
Glazer Carpenter,1
Glazers Assistant,1
Glazew,1
Glaziar Employed,1
Glazier Officer,1
Glazier Working,1
Glazier's Wife,1
Glazior,1
Glazor,1
Gleaser,1
Gleazer,1
Gleazer Unemployed,1
Glenard on Alesall,1
Gleneral Servant,1
Glew Factory Laboure,1
Gln Servant Domestic,1
Globe Cutter,1
Glocer,1
Gloncester Regt Pensioners,1
Gloosser in Laundry,1
Glore Merchant,1
Glosser in Laundry,1
Glosser in Ware Room,1
Glosser in Wareroom,1
Glosser-Collers,1
Glossery Machine,1
Gloster Regt,1
Glove Business,1
Glove Finisher,1
Glove Knitter,1
Glove Manufa Business,1
Glove Manufact Business,1
Glove Manufacturer,1
Glove Manufature Business,1
Glove Sewer,1
Glove Stitcher,1
Glover's Assistant,1
Gloveress,1
Gloveress Domestic Svt,1
Gloves and Hobson Machi,1
Glozier App,1
Glue Boiler,1
Glue Manufacturer Director of Company,1
Glue Manufacturer Director of Company undergraduate R.U.I,1
Glue manufacturer Director of company Hide Skin Merchant etc,1
Gluer Unemployed,1
Glumber,1
Glunner,1
Glycerine Maker,1
Glycering Maker,1
Gn Domestic Servant,1
Gn Servant-Domestic,1
Gn Worker,1
Gn. Domestic Servant,1
Gne Foreman Provision Store,1
Gneral Labour,1
Gneral Labourer,1
Gneral Servant,1
Gneral Shop Assistant,1
Gneral-Domestic,1
Gnl Domestic Servant,1
Gnl Labeourer,1
Gnl Laborour,1
Gnl Merchant,1
Gnl Servant (Domestic),1
Gnl Servant - Domestic,1
Gnl Servant Dom,1
Gnl Servant Domest,1
Gnl Servt Domestic,1
Gnl Servt Domst,1
Gnl. Domestic Servt,1
Gnl. Ser Domestic,1
Gnl. Serv Domestic,1
Gnl. Servant Dom,1
Gnl. Servant-Domestic,1
Gnl. Servt. Dom. Unemployed,1
Gnlal Labourer,1
Gnr G.R.A.,1
Gnral Servant,1
Gnral Servant Domestic,1
Gnrl Domestic Servant,1
Gnrl Servan,1
Gnrl Servant Dstc,1
Gnrl Sevt Domestic,1
Gnrl. Servant Domestic,1
Gnrz Coy Royal Artillery,1
Go,1
Go to Shool,1
Goad I M E Marine Engineer,1
Goaing to School,1
Goal Labourer,1
Goal Miner,1
Goard,1
Goat Farmer and JP,1
Goat Valuer V C E,1
Gobber in Mill,1
Gocer,1
Gocer Merchant,1
Gocer Spirit and Corn Merchant,1
Gocer and Spirit Assistant,1
Gocers Assistant,1
Gocers Porter,1
Gocr,1
Godging House,1
Goe N.School Teacher,1
Goen to Schoole,1
Goes School,1
Goes to Sea,1
Gog to School,1
Gohaman's Wife,1
Goin,1
Goin to Schol,1
Goin to School Scholar,1
Goiner,1
Going ?,1
Going Collector,1
Going Dresser in Linnen Factory,1
Going Rowhere,1
Going Sch,1
Going Scholar,1
Going Scool,1
Going school,1
Going to Buisness,1
Going to Chooll,1
Going to National School,1
Going to National School Scholar,1
Going to S,1
Going to Sch,1
Going to Scholar,1
Going to School Christian Bretherns,1
Going to School Farmers Son,1
Going to School Servant Boy,1
Going to School Soldier Son,1
Going to School Soldiers Daughter,1
Going to Scoole,1
Going to St Patrick S,1
Going to Strand,1
Going to sea,1
Goings to School,1
Goining to School,1
Gold - Miner - Australia,1
Gold Beaten,1
Gold Beater,1
Gold Bester (Apprentice),1
Gold Blocker,1
Gold Chain Maker,1
Gold Leaf Layeson,1
Gold Minen,1
Gold Miner Retired,1
Gold Miner Unemployed,1
Gold Miner-Retired,1
Gold Smith,1
Gold Smith and Jeweller,1
Gold and Silver Engraver,1
Gold and Silver Smith,1
Gold-Miner,1
Goldbeater,1
Goldbester,1
Golden Bridge Sawmill Labourer,1
Golders Apprentice,1
Goldheater,1
Goldsmith Apprentice,1
Golf Boy,1
Golf Club Makers,1
Golf Club Manufacturer Master,1
Golf Club and Ball Maker and Professional Golfer,1
Golf Profession,1
Golfer,1
Gon School,1
Gonging to School,1
Gonmonger,1
Gonmongress,1
Good Boy,1
Good Checker,1
Good Checker on U. G. W Railway,1
Good Cutting Machnist,1
Good Girl,1
Good Hard Working Wife at Home,1
Good Man,1
Good Merchant,1
Good Scholar,1
Good Store Keeper,1
Good Store Porter,1
Good Van Driver Labour,1
Good Van-Driver,1
Good Wife and Loving Mother,1
Good's Checker G.N.R.,1
Good's Clerk,1
Good's Packer,1
Good's Porter,1
Gooder Labour General Servt,1
Goodman,1
Goods Agent,1
Goods Agent Grand Canal Co.,1
Goods Bequer on Railway,1
Goods Cart Driver,1
Goods Cdegme,1
Goods Check Clerk,1
Goods Checker (Railway),1
Goods Checker G. N. R,1
Goods Checker on Railway,1
Goods Cheequer at Boats,1
Goods China,1
Goods Clerk (Railway),1
Goods Clerk G N R,1
Goods Clerk Mgew Railway,1
Goods Clerk Railway,1
Goods Clerk at Docks,1
Goods Clerk in Shipping Officer,1
Goods Clerk on Railway,1
Goods Dealer,1
Goods Gard Railway,1
Goods Guard,1
