occupation,count
Ostrich Feather Crorler,1
Ostrich Feather Dresser,1
Ostrich Leather Dresser,1
Ostrick Feather Dyer,1
Ostter,1
Ouay Labrorer,1
Ouay Riser Watchman,1
Ouddoor Relief,1
Ouder's Merchantile Clerk-?,1
Ouilter,1
Oupolsterer,1
Our Cook,1
Our Door Relief,1
Our House Keeper,1
Our Sister,1
Ourer,1
Out Assr Relief,1
Out Book Pager Retired,1
Out Coachman Employment,1
Out Door - Relief,1
Out Door Domestic,1
Out Door Duties House Keeper,1
Out Door Labourer,1
Out Door Offier of Customs,1
Out Door Porter,1
Out Door Relief From Union,1
Out Door Relief from Borrisokane Union,1
Out Door Relief from Lestowel Union,1
Out Door Reliefe,1
Out Door Sewer,1
Out Door Superintendent of farm and c,1
Out Door Worker,1
Out Fisser,1
Out Fitter Clother,1
Out Fitter and Draper,1
Out Fitter's Assistant,1
Out Fitters Assistant,1
Out Maker,1
Out Meal Miller,1
Out as Mother of Her Family No Occupation,1
Out door Pauper,1
Out employment,1
Out in Card,1
Out of,1
Out of Business,1
Out of Emplomt,1
Out of Employ,1
Out of Employe,1
Out of Employment (Domestic-Servant),1
Out of Employment General Servant Domestic,1
Out of Employment Machinist in Wareroom,1
Out of Employment Stone Cutter,1
Out of Health,1
Out of Houses and Dividends,1
Out of Place Grocers Assistant,1
Out off Employement General Labourer,1
Out off Work,1
Out-door Pauper,1
Outdoor Agricultural Work,1
Outdoor Grocer's Assistant,1
Outdoor Officer Board of Trade,1
Outdoor Officer Customer,1
Outdoor Pauper,1
Outdoor Releef from Borrisokane Union,1
Outdoor Relief from Poor Law Union,1
Outdoor Relief from Wexford Union,1
Outdoor Servant Groom Domestic,1
Outdoor Servant-Domestic Servant,1
Outdoor Work,1
Outdoor Work Woman,1
Outfitter Assistant,1
Outfitter and Post Master,1
Outfitter's Assistant,1
Outfitter: Unemployed,1
Outfitters Asst,1
Outprinters Assistant,1
Outside Pauper,1
Outside Worker,1
Outsman,1
Outstand Shop Keeper,1
Outworker,1
Oveerseer,1
Over Income,1
Over Locker,1
Over Locker Ropework,1
Over Looker Cotton Weaving,1
Over Looker Linen Factory,1
Over Looker Wvg Facty,1
Over Looker in Spinning Linen Mill,1
Over Looker in Spinning Mill,1
Over Machine,1
Over Samer,1
Over Sawer (Flax Mill),1
Over Seamer Hry,1
Over Seamers,1
Over See Public Works,1
Over Seed,1
Over Stables Superintandent,1
Over seer,1
Over-Seemer,1
Overcooker in Weaving Factory,1
Overlapper in L Factory,1
Overlooke in Flax Spinning Mill,1
Overlooker (Flax Mill),1
Overlooker (In Nill),1
Overlooker Builders,1
Overlooker Flax Business,1
Overlooker Flax Dpt. Spinning Mill,1
Overlooker Hackling Machines,1
Overlooker Linen Mill,1
Overlooker Spinning Mill,1
Overlooker Spinning Room Master,1
Overlooker at Spinning Mill,1
Overlooker in Flex Mill,1
Overlooker in Linen Spinning Mill,1
Overlooker in Linen Ware House,1
Overlooker in P L Factory,1
Overlooker in Ropework,1
Overlooker in Tobacco Factory,1
Overlooker in Whitehouse Spinning,1
Overlooker of Spinning,1
Overlooker on Railway,1
Oversamer,1
Overseaming Handkerchiefs,1
Oversear in Yarn Loft Mill Worker,1
Overseas Cleansing Dep Dublin Corporation,1
Overseasmer,1
Oversecr,1
Overseed on City Council,1
Overseed-Corporation,1
Overseemer,1
Overseen Over Killer Waterworks,1
Overseer (Bacon Curing),1
Overseer (Corporation),1
Overseer Blackcock U. D. C.,1
Overseer City Council,1
Overseer D.C.,1
Overseer Linen Bussiness,1
Overseer Linen Factory,1
Overseer Linen Trade,1
Overseer Ship Owner,1
Overseer Stitching Factory,1
Overseer Tobacco Trade,1
Overseer Unemployed,1
Overseer Water Worker,1
Overseer Winding Master,1
Overseer Works Congested Dist Board,1
Overseer and Brander,1
Overseer and Conftion Employee,1
Overseer at Flour Mills,1
Overseer at Killer Waterworks,1
Overseer at Public Work,1
Overseer in Bakery,1
Overseer in Corporation,1
Overseer in Flax Spg Mill,1
Overseer in Foundry,1
Overseer in Linen Factory,1
Overseer in Linnen Mill,1
Overseer in Manuel Works,1
Overseer in Paper Mill,1
Overseer in Spinning Mill,1
Overseer in Spinning Room in Spinning Mill,1
Overseer of Labrs,1
Overseer of Public Works,1
Overseer of Servant Domestic Servant,1
Overseer of Water Works,1
Overseer of Work,1
Overseer of Work at Harbour,1
Overseer of Works,1
Overseer on Ex Roads,1
Overseer to Coal Merchant,1
Overseer-Mineral Water Factory,1
Overseers's Daughter,1
Oversees,1
Oversees in City Corporation,1
Oversees of Householder,1
Oversees of Work in Explosive Works,1
Overserer,1
Oversier in Corporation,1
Oversies Dublin Corporation,1
Oversser G S J W Rly,1
Overtaker Flax Mills,1
Overworker,1
Overworker (Mill Spinning),1
Overworker in Weaving Factory,1
Oveseer in Moulding Shop (Foundry),1
Oway Labourer,1
Owen Island Labour,1
Owener of house property,1
Ower Loan Tenter,1
Ower Seaming,1
Owlisher,1
Own Account,1
Own Business,1
Own House,1
Own Scholar,1
Own employers,1
"Own, Housekeeper",1
Owne of House Property,1
Owner,1
Owner (Linen Trade),1
Owner Brewery,1
Owner Houses and Land,1
Owner Land and Dividends,1
Owner Printing Salesman,1
Owner Railway and Other Shdres,1
Owner Undertaking and Fosting Estabt,1
Owner and Driver,1
Owner and Master of Art Warehouse,1
Owner of Asylum,1
Owner of Bakery,1
Owner of Catling Rodes,1
Owner of Corn Mill,1
Owner of Farm Land,1
Owner of Farm of Land,1
Owner of Farmer,1
Owner of Farms,1
Owner of Ferry,1
Owner of Fishing Boats,1
Owner of Gas Works,1
Owner of H. Property,1
Owner of Hackney Car,1
Owner of Home Propreitor Jobbing Plumber Master Unemployed Registered Teacher Plumbing Unemployed at Present Studying Science ?,1
Owner of House Properties Stocks and Stores and C,1
Owner of House Property Expolice Constable of London,1
Owner of House Property Gentleman,1
Owner of House Property Gentlewoman,1
Owner of House Property Retired from D.M. Police,1
Owner of House Property and C,1
Owner of House Property and Private Means,1
Owner of House Property in Cork,1
Owner of House and Land,1
Owner of House and Land Property,1
Owner of House and Outer Property,1
Owner of House and Place,1
Owner of House of Which Portion at 6 Lodgers,1
Owner of Land House Pro,1
Owner of Land and Investment,1
Owner of Land in the County of Galway,1
Owner of Landed Property and Stocks and Stores and C,1
Owner of Market Tolls,1
Owner of Meal and Flour Store,1
Owner of Post Car,1
Owner of Real Estate,1
Owner of Two Houses Let in Apartments Vacant at Present,1
Owners Son Farmer,1
Owns,1
Oxellery Letter Carrier G P O,1
Oxford L. Infantry (Soldiers Wife),1
Oxford Under Graduate,1
Oxford Undergraduate,1
Oxilary Postman,1
Oyan Builder,1
Oysten Saloon Proprietor,1
Oyster Beck Keeper,1
Oyster Bed Watcher,1
Oyster Saloon Proprietor,1
Oyster Saloon Waiter,1
Oyster and Lobater Fishery (Manager),1
Oyster and Winkle Dealer,1
P,1
P A Assistant,1
P Agricultural Labourer,1
P B,1
P Baker,1
P Broker,1
P Brokers Clerk,1
P Butcher,1
P Case Maker,1
P Clergyman,1
P Clerk (Post Officers Telescope),1
P Clerk Post Officers,1
P Constable D M P,1
P Constable's Wife,1
P D Letter Carrier,1
P Dressmaker,1
P F Cambric Weaver,1
P Farmer,1
P Hackle Setter,1
P Hotel Proprietress,1
P House Manager,1
P II 'I' Coy K.R. Rifles,1
P II 'K'. Coy. R.R.Rifles,1
P II No 3 Coy. Shrops. L. Inf,1
P II No 4. Coy. Shrops.L. Inf,1
P II O. Coy.K.R.Rifles,1
P L Dresser,1
P L G N D W,1
P L Warper,1
P L. Weaver,1
P Linen Tenter,1
P Loom Cambric Weaver,1
P Loom Linen Weaver,1
P Loom Tenter,1
P Loom Tenter in Linen Factory,1
P Loom Weave,1
P Machine Feeder,1
P Maid - Domestic Servt,1
P Maid D.S,1
P Maid Dom Servant,1
P Maid Domestic G Servant,1
P Maid Domestic Servant,1
P Maid Servant (Domestic),1
P Maid Servant Dom,1
P O 1st Class,1
P O 1st and G. I Pensioner. R N,1
P O Clarkess,1
P O Clerk Unemployed,1
P O Letter Carrier,1
P O Messenger,1
P O Naval Seaman,1
P O Post Office-Telegrapher Clerk,1
P O Postmistress,1
P O S Messenger,1
P O Sorting Clerk,1
P O Telegraph,1
P O Telegraphist,1
P O Telegraphist and Sorter,1
P Offic Assistant,1
P Office Cleark,1
P Office Learner,1
P Office Official,1
P Office assistant,1
P P Roman Catholic Church,1
P P and Archdeaon of Dublin,1
P P and Canon,1
P Priest,1
P Rate Collector,1
P Rivetter,1
P Soldier,1
P Soldier R. I. R.,1
P T,1
P Teacher,1
P U 1st Class,1
P W Labourer,1
P and P Roundfort,1
P and Telegraph Offic,1
P of Hairdresser,1
P te,1
P'Maid Domestic Servant,1
"P, L, Tenter",1
"P,C,O Customs Supt",1
"P,L, Tenter",1
P-Land Agent,1
P. Bagmaker,1
P. C. Curate,1
P. C. K. C. D.L,1
P. Carpenter,1
P. Case Maker,1
P. Chemists Assistant,1
P. Constable,1
P. Engineer,1
P. L. G.,1
P. L. Linen Weaver,1
P. L. Weaver,1
P. Loom Tenter,1
P. Maid Domestic,1
P. Maid-Domestic,1
P. Maid. Domestic Servant,1
P. Man,1
P. Master and C M.P. Sessions,1
P. O 1st Class R.N.,1
P. O Assistant Unemployed,1
P. O Clerk,1
P. O Pensioner,1
P. O.,1
P. O. Hm Customs,1
P. O. Messenger,1
P. O. Office Official,1
P. O. Official,1
P. O. Postman,1
P. O. Telegraph Messenger,1
P. Office Official,1
P. Office and Telegrap Clerk,1
P. P. Assistant Civil Servant,1
P. P. Servant,1
P. R. Collector,1
P. S. Clerk,1
P. Sale Shop,1
P. Sessions Clerk Unemployed,1
P. U. and Telegrah Asst,1
P. W. Railway Inspr,1
P. Way Inspector,1
"P. Way Inspector, G. N. R.",1
P.B. Clerk,1
P.C Office Clerk,1
P.C. Clerk,1
P.C. D.M.P.,1
P.Car Proprietor,1
P.D.Assistant,1
P.G. Messenger,1
P.I.C. Pensioner Estate Manager,1
P.L Damask Mounter,1
P.L. Weaver Cambric,1
P.L. Winder,1
P.L.F. Income fm Dividends,1
P.L.G,1
P.L.G.,1
P.L.G. D.C.,1
P.L.Weaver,1
P.Loom Tenter,1
P.Maid D Servant,1
P.O 1st Class Royal Navys,1
P.O Clerk,1
P.O Clk,1
P.O Pensioner,1
