occupation,count
Salt Mine,1
Salt Mine Engineer House and Land Agent,1
Salt Miner and in Salt Mines,1
Salt Miner-Rodger,1
Salt Miners Son,1
Salt Miners Wife,1
Salt Mines Salt Minner,1
Salt Minner,1
Salt Refiner-Master,1
Salt Rock Miner,1
Salt Rockminer,1
Salter Denny's,1
Salter in Bacon Cellor,1
Salter in Bacon Facory,1
Salter in Becon Cellar,1
Saltmine Worker,1
Saltminer,1
Salts Man,1
Salvage Contractor,1
Salvation Army Capt,1
Salvation Army Lient,1
Salvation Army Officer Rank Captain,1
Salvation Army Officer Ranks Captain,1
Salventing Clerk,1
Same Business,1
Same Business with Mother,1
Same Keeper,1
Same as No 1 - Instice of The Peace-Chairman Urban Carnail Mullingar,1
Sameister,1
Samer,1
Samesher,1
Samesteres,1
Samesteris,1
Samestess,1
Samestir,1
Samestor,1
Samestrer,1
Samestries,1
Samestrs,1
Samestrys,1
Samier,1
Samnan Fisher,1
Samp Maker,1
Sampe Sower in Wareroom,1
Sample Cutter Linen Trade,1
Sample Cutter Warehouseman,1
Sample Maker (Linen Business),1
Sample Maker (Linen),1
Sample Maker Clothing,1
Sample Maker Linen,1
Sample Maker Rope Works,1
Sample Maker Warehouse,1
Sample Packer,1
Sample Packer in Print Works,1
Sample Workers,1
Samplemaker Handkerchief,1
Samplemaker Linen Trade,1
Sampler,1
"Sampler, Linen",1
Samplor and Chemical Manure Works,1
Sampstress,1
Samstess,1
Samstreass,1
Samstress Sower,1
Samstriss,1
Samustress,1
San,1
San Clerk,1
San Sub Officer,1
"San, Sub Officer",1
San. Sub. Officer,1
San?ty Sub Officer,1
Sanatairy Fitter,1
Sand Agent,1
Sand Agent Wife,1
Sand Driver,1
Sand Labourer,1
Sand Lady,1
Sand and Dividend,1
Sand and Houses,1
Sanders,1
Sandlord J P,1
Sandries Housekeeper,1
Sands,1
Sandy,1
Sandy Girl,1
Sanestress,1
Sanetary Inspector,1
Sanetary officer,1
Sanetay Inspector,1
Sanitary Assistant,1
Sanitary Corporation Officer,1
Sanitary Drain Caster,1
Sanitary Engineer (Master),1
Sanitary Engineer Manager,1
Sanitary Engineer and Plumber-Master,1
Sanitary Engineer's Assistant,1
Sanitary Engineering,1
Sanitary Inpector,1
Sanitary Inspector Dlr,1
Sanitary Inspector Dublin Corporation,1
Sanitary Lab Officer,1
Sanitary Labourer,1
Sanitary Officer Out of Employment,1
Sanitary Offices,1
Sanitary Official,1
Sanitary Presser,1
Sanitary Staff Dublin Corporation,1
Sanitary Sub Officer and Inspector of Derys,1
Sanitary Sub Officer at Works,1
Sanitary Sub. Officer,1
Sanitary Worker,1
Sanitay Engineer,1
Sanitery Inspector,1
Sanitery Sub-Officer and Dep. Reg. Births. Death and C,1
Sanitry Engineer,1
Sanitury Inspector,1
Sanity Inspecter,1
Sansage Filler,1
Sanstress,1
Sanvage Maker Bacon Store,1
Sap Assistant,1
Saper S.E.,1
Saported by Family,1
Sapper Miner,1
Sapper R Engineers,1
Sapper Rl Engineers (Printer),1
Sapper Royal (Ex),1
Sapper Royal Engineers Employed on Orduance Survey Duty,1
Sapper Royal Engineers Ordnance Survey,1
Sapper Royal Engineers Surveyor,1
Sapper Royal Engineers Surveyor Ordnance Survey (Board of Agriculture),1
"Sapper Royal Engineers Surveyor, Ordnance Survey",1
Sapper Royal Enginers,1
Sapper Royal Inspector Surveyor-Ordnance Survey,1
Sapper on his Way Africa,1
Sapper-Royal Engineer,1
Sapper. Royal Engineers Surveyor (Superintendent),1
Sappier,1
Sar Small Annuity,1
Sarcream,1
Sarcristan,1
Sardener Servant Domestic,1
Sarface Man on Railway,1
Sargarent in Army,1
Sargt D M P,1
Sargt Major 3 Rl Innis Fus,1
Sargt R I Constabalary,1
Sargts Wife (R I C),1
Sarlor,1
Sarmer,1
Saronets Daughter,1
Saronets Widow,1
Sarter Clerk G P O,1
"Sarvant, Domestic",1
Sarvear,1
Sarver,1
Sarver (Unemployed),1
Sarvey Unemployed,1
Sarveyr,1
Sarvy,1
Sarvyer of Timber,1
Sat Agent Bank of Ireland,1
Sat Maker,1
Satable Man,1
Satcher,1
Sate Col. 5th R Dub Fus D L. JP. Landlord,1
Sater,1
Sating Ho Keeper,1
Sationers Asistant,1
Sationery Messenger,1
Saucaage Maker-at Factory,1
Saucuage Maker,1
Saucuage Maker at Factory,1
Saucuage-Maker,1
Saunders,1
Saundress Domestic S,1
Saundry Hand,1
Saundry Woman Inmate of Workhouse,1
Saundry Worker,1
Sausage Cleaner in Cellar,1
Sausage Cleaner in Factory,1
Sausage Deaner in Factory,1
Sausage Maker and (Salesman),1
Sausage Maker in Bacon Celler,1
Sausage Maker in Bacon Store,1
Sausage Maker in Factory,1
Sausage Making,1
Sausage Manufacturer,1
Sausage Skin Dresser,1
Sausage Skin Preparer,1
Sauyer,1
Saver Employed,1
Saving Machine Agent,1
Saving Machine Machanic,1
Saving Machinist Forwoman,1
Saving Mch Agent,1
Saving on his Means on House Property,1
Saving with Head of Family,1
Savings Bank Clerk,1
Savings Bank Secretary and Agent,1
Saw Docter,1
Saw Doctor and M D C,1
Saw Engineer,1
Saw Face Man on Road,1
Saw Machinist,1
Saw Machinists,1
Saw Machinst,1
Saw Makers,1
Saw Mill,1
Saw Mill Apprentice,1
Saw Mill Assistant,1
Saw Mill Assistant (Labourer),1
Saw Mill Boy,1
Saw Mill Employee,1
Saw Mill Eng - Driver,1
Saw Mill Factory Labourer,1
Saw Mill Hand,1
Saw Mill Laborer,1
Saw Mill Laborour,1
Saw Mill Labour,1
Saw Mill Machanist,1
Saw Mill Machines,1
Saw Mill Machins,1
Saw Mill Machinst,1
"Saw Mill Manager, Insurance Agent",1
Saw Mill Merchant,1
Saw Mill Messenger,1
Saw Mill Owner and Timber Merchant,1
Saw Mill-Manager,1
Saw Mill-Wood Cutting,1
Saw Miller Manager,1
Saw Miller and Manufacturer,1
Saw Millier,1
Saw Mills Engine Driver,1
Saw Mills Engineer,1
Saw Mills Engines Driver,1
Saw Mills Fireman,1
Saw Mills Foreman,1
Saw Mills and Timber Yard Overseer,1
Saw Printer,1
Saw Repainer,1
Saw Setter,1
Saw Sharper,1
Saw Sharpner,1
Saw Stationerys Travellers,1
Saw Trimmer in Saw Mill,1
Saw Worker,1
Saw Yen,1
Saw and Muslin Agent,1
Saw-Clerke,1
Saw-Mill-Machinest,1
Saw-Miller,1
Sawage Maker,1
Sawars Soldier,1
Sawayer,1
Sawe,1
Sawer Helper,1
Sawer Laber,1
Sawer Timber Yard,1
Sawer and Timber,1
Sawer in Bleach and Dye Works,1
Sawer in Dock Yard,1
Sawer in Timber Yard,1
Sawer in Timer Yard,1
Sawer in a Mill,1
Sawer's Wife,1
Sawer-Wood,1
Sawers Keeper,1
Sawers Loom Tenter,1
Sawger,1
Sawiene,1
Sawier Machinist,1
Sawier in Timber Yd,1
Sawiers Helper,1
Sawing Lude Under Child,1
Sawing Machine Agent,1
Sawing Machine Shop Assistant,1
Sawing Tailor,1
Sawing Woman,1
Sawmakers Apprentice,1
