occupation,count
Checker E.N.R,1
Checker G S and ? M P,1
Checker G S and M P,1
Checker Goods,1
Checker Goods Clerk,1
Checker London and North W.Rly Co,1
Checker Raily,1
Checker Ropework,1
Checker Shipping,1
Checker Steam Ship,1
Checker Ticket,1
Checker and Railway,1
Checker at Market,1
Checker in Boat Office Steam,1
Checker in Brewery,1
Checker in Dye Works,1
Checker in Hankf Factory,1
Checker in Laundry,1
Checker in Shop,1
Checker in Steam Ship Co,1
Checker in Steamship Coy,1
Checker in Stores,1
Checker in Warehouse,1
Checker on Liverpool Boats,1
Checker on M G.W.Ry,1
Checker on Railway,1
Checker on Steam Boat,1
Checker on Steam Ship Co,1
Checker to Bottlers,1
Checker to Corporation,1
Checker. Bakery,1
Checkeron Quay,1
Checking Clerk Shipping,1
Cheef of Brands Banks Departments Bank of Ireland,1
Cheef-Engineer,1
Cheefly Dividends,1
Cheek Clerk for Steam Packet Company,1
Cheeker,1
Cheese Maker,1
Cheese monger,1
Cheeseman,1
Chef (Artiste Mlinaire),1
Chef (Cafe),1
Chef (Hotel),1
Chef Culinair,1
Chef Decuisine,1
Chef Domesti Servt,1
Chef Engineer Unemployed,1
Chef Head Waiter in (Officers Mess),1
Chef Marker,1
Chef at Painio,1
Chef-Domestic Sert,1
Chef-Hotels,1
Cheff-Maid Domestic Servant,1
Cheg,1
Cheif Boatman Coast Guard,1
Cheif Bootman Coast Guard,1
Cheif Btm in Charge Coast Guard,1
Cheif Clerk Railway,1
Cheif Clerk of Dept,1
Cheif Dorow Gl Pr's Servant,1
Cheif Electrical Store Keeper D M Tram Co,1
Cheif Engineer,1
Cheif Mate,1
Cheif Petty Officer Royal Navy,1
Cheif Section Office Dublin Castle Principal Knight CB,1
Cheif Stoker Naval Pensioner,1
Cheif Warder,1
Cheif Warder Prision Service,1
Cheker,1
Chekers,1
Chekman-Domestic Servant,1
Chel Boy,1
Chel Girl,1
Chelorens Maid,1
Chemest,1
Chemester Assistant,1
Chemical,1
Chemical Agent,1
Chemical Analyst,1
Chemical Apprentice,1
Chemical Assistant in Manufactures,1
Chemical Commercial,1
Chemical Druggist and Undergraduate Medicines,1
Chemical Laboratory,1
Chemical Maker,1
Chemical Manufacturer Agent,1
Chemical Manufacturer Master,1
Chemical Manufacturers Clerk,1
Chemical Manufr Master,1
Chemical Manufrs Clerk,1
Chemical Manure Agent,1
Chemical Manure Man,1
Chemical Manure Manufacture,1
Chemical Manure Manufacturer,1
Chemical Manure Manufr,1
Chemical Manure Works Commercial Clerk,1
Chemical Manurs Agent Sub-Land Agent,1
Chemical Parish Priest Roman Catholic Church,1
Chemical Shop Assistant,1
Chemical Teacher B.A. Royal Univy. Ireland,1
Chemical Traveller,1
Chemical Wks Manager,1
Chemical Work Labourer,1
Chemical Works (Rectifier),1
Chemical Works Foreman,1
Chemical Works Manger,1
Chemical and Mining Engineer,1
Chemical and Starck Maker,1
Chemicey Sweeper,1
Chemis and Druggist,1
Chemish,1
Chemist (Manager),1
Chemist (Manufacturor),1
Chemist (Un Employed),1
Chemist (Un Qualified),1
Chemist (Unemployed),1
Chemist (retired),1
Chemist - Assistant,1
Chemist Appre,1
Chemist Assistant Pharmaceutical,1
Chemist Assistt.,1
Chemist Ast,1
Chemist Boy,1
Chemist Clerk,1
Chemist Druggist (Registered),1
