occupation,count
Asst Clerk of Ennistymon Union,1
Asst Clerk of Linen and District Council,1
Asst Clerk of Union and Insurance Agent,1
Asst Clerk of Works Board of Works,1
Asst Clk Rathdorne Union,1
Asst Co Surveyor and Farmer,1
Asst Co Survyor,1
Asst Coachman,1
Asst Comer Irish Land Conn,1
Asst Commercial Hse,1
Asst Commissioner Land,1
Asst County Duty Surveyor,1
Asst Court Keeper,1
Asst Distiller,1
Asst Drain Tester,1
Asst Draperess,1
Asst Dress Maker,1
Asst Dressmaker,1
Asst Dyer in Factory,1
Asst Engineer,1
Asst Engr,1
Asst Euph of Agents for Prudential Assurance Co. LD,1
Asst Examining Officer H M Custom,1
Asst Examr Landed Estates Court,1
Asst Foreman Boiler Smith,1
Asst Furniture Ware Rooms,1
Asst G her Mother,1
Asst Gapt Telegraphs,1
Asst Grocer,1
Asst Grocer and Spirit Merchant,1
Asst H K,1
Asst Harbour Master,1
Asst Hotel Keeper,1
Asst Hous Keeper,1
Asst House Agent,1
Asst House Keeper and Cook,1
Asst House Painter,1
Asst House-Keeper,1
Asst Housekeer,1
Asst Housker,1
Asst Insp General R I C,1
Asst Inspector G P O Dublin,1
Asst Inspector of Postman G.P.O,1
Asst Inspr Tel Mesger,1
Asst Inspr Telegraph Messges,1
Asst Inspt G P O,1
Asst Inspt of Postman,1
Asst Insptr of Postman,1
Asst Insptr of Postmen,1
Asst Just (Fishery),1
Asst Labr Master,1
Asst Land Commission,1
Asst Land Commissioner,1
Asst Land Commr,1
Asst Land Surveyor,1
Asst Laundress Dom. Servant,1
Asst Librarian,1
Asst LightKeeper,1
Asst Locomotive Engineer,1
Asst Manager,1
Asst Manager Billposting Co,1
Asst Manager Shipbuilding,1
Asst Manager WHouse,1
Asst Manager in Creamery,1
Asst Manager in Gunpowder Mills,1
Asst Manager in Tannery,1
Asst Manageress,1
Asst Master Limk Union,1
Asst Miller,1
Asst N S Teacher,1
Asst N School Teacher,1
Asst N. Teacher,1
Asst Nat School Teacher,1
Asst Nurse,1
Asst Organizer of Science National Education Office,1
Asst Pawn Broker,1
Asst Pensioners MS Corps Offic Keeper,1
Asst Petty Session Clerk,1
Asst Petty Sessions Clerk,1
Asst Photographer,1
Asst Post Man,1
Asst Postmaster,1
Asst Provision and Grocery,1
Asst Railway Guard,1
Asst Rate Collector,1
Asst Register D. Birth,1
Asst Registrar D. Brth,1
Asst Registrar and C,1
Asst Regr of Bir this ? and Marriages Donnybrook District,1
Asst Schoolmistress,1
Asst Sea Co Council,1
Asst Secretary Army and Navy Pensioners Emp?,1
Asst Secretary Y.M.C A.,1
Asst Secretary and Gas ?,1
Asst Secty Co Council,1
Asst Sexton R. C. Church,1
Asst Shoemaker,1
Asst Shoolmistress Foyle College,1
Asst Shop Manager,1
Asst Spdt Hamps In Rev,1
Asst Stendent Prudential Assurance,1
Asst Stock Keeper,1
Asst Storekeeper G S and W R,1
Asst Storekeeper in Asylum,1
Asst Sub Post Mistress,1
Asst Sub Postmistress,1
Asst Superentendent Post-Office,1
Asst Superintendent Postal Telegraphs,1
Asst Superintendent Prudential Assurance Co,1
Asst Supg Engineer P. O. Telegraphes,1
Asst Supt ?,1
Asst Supt Clare (Telegraph Dept G P O),1
Asst Supt Const Cable Co,1
Asst Supt G I O Dublin,1
Asst Supt G I O Dublin Superannuated,1
Asst Supt Gro,1
Asst Supt Post Office,1
Asst Supt Post Office Belfast,1
Asst Supt Postel Telegraphs,1
Asst Supt Prudential,1
Asst Supt S P O Dublin,1
Asst Supt Sorting Office G P O,1
Asst Supt Street Clean?,1
Asst Supt Telegraph,1
Asst Supt Telegraph Dept Superannuated,1
Asst Supt Telegraphs,1
Asst Supt. Postal Telegraphs,1
Asst Surveyor,1
Asst Surveyor of Faxes,1
Asst Svt Postmaster,1
Asst Tax Collector,1
Asst Teacher N.S.,1
Asst Teacher Nat Board,1
Asst Teacher in Grangyomur N. School,1
Asst Tobacco Mfg Co,1
Asst Tobbaconist,1
Asst Vintner to Head of Family,1
Asst Waiter,1
Asst and Grocery Bar Rd,1
Asst and House Keeper,1
Asst and Housekeeper,1
Asst and Schoolmaster,1
Asst at Home,1
Asst co Surveyor and c,1
Asst in Apron Warehouse,1
Asst in Book and C Shop,1
Asst in Home,1
Asst in Model Sch,1
Asst in Office and Farmer,1
Asst in Packing Room Laundry,1
Asst in Pefres Servant Room,1
Asst in Photograpers,1
Asst in Post Office,1
Asst in Stationers Shop,1
Asst in Store,1
Asst in Yarn Office,1
Asst of Business,1
Asst on Farm,1
Asst to Grocery and Spirit Trade,1
Asst to Postmistress,1
Asst to Publican,1
Asst to Shop,1
"Asst, N.S. Mercy Convent",1
Asst-Examnr-HM Stationary Office,1
Asst-Factory Manager,1
Asst-Manager Linen Factory,1
Asst-Sch. Teacher,1
Asst-Van Driver,1
Asst-Victualler,1
Asst.,1
Asst. Apothecary (Unemployed),1
Asst. Caretaker,1
Asst. Cashier Tobacco Factory,1
Asst. Chief Inspector Gas Works,1
Asst. Clerk (Police Court Clerk),1
Asst. Clerk General Valuation Office,1
Asst. Clerk in Linen Warehouse,1
Asst. Clerk in Stock Brokers Office,1
Asst. Clerk of Linen,1
Asst. Coachman Domestic Sevt,1
Asst. Con. Survyor,1
Asst. County Surveyor,1
Asst. Elestl. Engineer,1
Asst. Engineer,1
Asst. Farmer,1
Asst. Gamekeeper,1
Asst. Gatekeeper,1
Asst. H. Keeper,1
Asst. Harbour Master,1
Asst. Hardware and Grocer,1
Asst. Ho. Keeper,1
Asst. Hotel Porter,1
Asst. House Keeping,1
Asst. Housekeepr,1
Asst. Lady Superintendent Royal Irish Academy of Music,1
Asst. Land Agent,1
Asst. Land Commissioner,1
Asst. Male Nurse,1
Asst. Manager of Tobacco Factory,1
Asst. N. S. Teacher,1
Asst. N. School Teacher,1
Asst. Nat School Teacher,1
Asst. Nurse,1
Asst. Pawnbroker,1
Asst. Post-Mistress,1
Asst. Postmistress,1
Asst. Preparing Master Flax,1
Asst. Profesor in NP Training College,1
Asst. R.I.C,1
Asst. Rly. Storekeeper,1
Asst. School Teacher,1
Asst. Shopkeeper,1
Asst. Supt. Assur: Co.,1
Asst. Supt. Assurance,1
Asst. Supt. G.P.O Dublin,1
Asst. Supt. Post Office,1
Asst. Surveyor Bd. of P. Works Id.,1
Asst. Teacher N S.,1
Asst. Teacher N.S.,1
Asst. Teacher National School,1
Asst. Teacher-M. N. S,1
Asst. Teachers,1
Asst. Tel. Linesman,1
Asst. on Farm,1
Asst. to Post Master,1
Asst. to Postmistress,1
Asst.Teacher,1
Asst: Librarian,1
Asstant,1
Asstant Bar Tender,1
Asstant Farmer,1
Asstant Grocer,1
Asstant Housekeeper,1
Asstant Lodge Keeper,1
Asstant Shop Keeper,1
Asstant in Bar,1
Asstg in Dairy Business,1
Assting in Household Business,1
Asstmistress,1
Asstnt Boot and Shoe Business,1
Asstnt Housekeeper,1
Assts Hous Keeper,1
Asstst Butcher,1
Asstst Housekeeper,1
Assuran Agent,1
Assuranc Agent,1
Assurance Agent (Unemployed),1
Assurance Agent Fisher Man,1
Assurance Agent and Farmer,1
Assurance Agnet,1
Assurance Assist Superintendent,1
Assurance Co Agent to Prudential,1
Assurance District Superintendant,1
Assurance Gopt,1
Assurance Manager,1
Assurance Superinteident,1
Assurance Superintendant,1
Assurance Superintendent of Agents,1
Assurance Superntendant,1
Assurance Suprintendent,1
Assurance Traveller,1
Assurance Traviler,1
Assurance and House Agent,1
"Assurance, Agent Peail",1
Assurence Agent and Grocer,1
Assurence Business Asst Superintendent,1
Ast Book Dom Servant,1
Ast Bricklayer (Emp),1
Ast Cellarman Whisky,1
Ast Clerk B Works,1
Ast Clerk Rural District County North Dublin,1
Ast Creamery Manager,1
Ast Decoratif Merchant,1
Ast Foreman Army Old Dept,1
Ast Hallmaid in Asylum,1
Ast Housekeeper,1
Ast Laundress,1
Ast Manager Butter Factory,1
Ast Matron,1
Ast P.O,1
Ast Packer,1
Ast Paymaster R.N. Reserve Superintendent Customs,1
Ast Postman,1
Ast Regr of Births of ?,1
Ast School Teacher,1
Ast Sergt R I C,1
Ast Yarn Dryer,1
Ast on Farm,1
Ast. Druggist,1
Ast. Harbour Master,1
Ast. Pawnbroker,1
Ast. Post Mistress,1
Ast. Superintendent,1
Ast. Teacher,1
Ast. of County Council,1
Astant,1
Astant B S,1
Astillery Pensioner,1
Astist,1
Astronomer B.A. Int BSc. F.R.A.S (University of London),1
"Astronomer M.A., Phil.D;",1
Asty Draper,1
Asylam Attendant,1
Asylam Attendent Unemployed,1
Asylm Nurse,1
Asylmic ?tion,1
Asylum,1
Asylum A Ironmould,1
Asylum Atendant,1
Asylum Att 9. Store Assistant,1
Asylum Attendant Pensioner,1
Asylum Attendant and Gardener,1
Asylum Attendaur,1
Asylum Cook (Assistant),1
Asylum Dairymaid,1
Asylum Dressmaker,1
Asylum Gate Porter,1
Asylum Head Nurse,1
Asylum Keeper,1
Asylum Land Steward,1
Asylum Laundress (Assistant),1
Asylum Nure Resigned,1
Asylum Nurse Pensioner,1
Asylum Officer Superannuation,1
Asylum Physician,1
Asylum Store Keeper,1
Asylum Warders Unemployed,1
Asylum Worder,1
Asylum at Herd,1
Asylumn Nurse,1
Aszlum Wardn,1
At - Home,1
At - Scholar,1
At Academy,1
At Apprentice,1
At B,1
At Biscuit Factory,1
At Bleach Works,1
At Blocking Machine in Laundry,1
At Book Binding,1
At Book Stall R Station,1
At Buisness,1
At Busines in House,1
At Business in a Wine Merchants Stores,1
At Cabinet Making,1
At Carding Machinary,1
At Carpender Trade,1
At Carpet Works,1
At Chooll,1
At Clarking,1
At Cleeve's Factory,1
At Cleeves Factory,1
At Clerking,1
At Confectionery in Factory of W J R Jacob Peters Row Dublin,1
At Cool,1
At Coopering,1
At Creamery Work,1
At Daily School,1
At Daily Work,1
At Domestic,1
At Dressmaking,1
At Factory Work,1
At Fancy Work and Dressmaker,1
At Guiness Survey Cooper,1
At Handkerchief,1
At Home (Genal Work),1
At Home : Housekeeper,1
At Home Assisting Parents,1
At Home Attending Too,1
At Home Business,1
At Home Farmer's Daughter,1
At Home From Shool,1
At Home Get,1
At Home Going to School,1
At Home Helping,1
At Home House Keeper,1
At Home Housekeeper,1
At Home Housekeeping,1
At Home Instructor,1
At Home Just Left School,1
At Home No Occupation,1
