occupation,count
Foot Maid D S,1
Foot Man (Domestic Servant),1
Foot Man Domestic Servt.,1
Foot Mat Maker,1
Foot Merchant,1
Foot Regment Pensioner,1
Foot Regt,1
Foot man,1
Football Maker,1
Football Player,1
Footmaid Servant Domestic,1
Footman (D S),1
Footman (Domestic Servant),1
Footman - D. S,1
Footman - Domestic S,1
Footman - Domestic Servt,1
Footman D.S.,1
Footman Dom Servnats,1
Footman Dom maid,1
Footman Dom. Servt,1
Footman Dom: Ser:,1
Footman Domesitc Servt,1
Footman Domestic S,1
Footman Domestic Ser,1
Footman Domestic Sernt,1
Footman Domestic Servant Unemployed,1
Footman Domestic Servent,1
Footman Domestic Servt.,1
Footman Domestic Srvt,1
Footman Domestic Svt,1
Footman Domestick,1
Footman General Servant,1
Footman Harrison,1
Footman Maid Domestic Servt,1
Footman Manservant,1
Footman Servant Domestic,1
"Footman, Domestic Svt",1
Footman- Domestic Servant,1
Footman-D. S,1
Footman-Domestic,1
Footman-Domestic Ser,1
Footman-Domestic Sert,1
Footman-Domestic Sevt,1
Footman-Domtc Sert,1
Footmans Domestic Servant,1
For Apprentice,1
For Assistant,1
For Balbriggan,1
For Bread Consumary Compy Traveller,1
For Dyes and Chemicals Commercial Traveller,1
For R C V S,1
For Scholar,1
For Works Manager,1
Forag Dealer,1
Forage Arawer,1
Forage Contractors Agent,1
Forage Contracts Shop Keeper,1
Forage Man,1
Forage Store Keeper,1
Forage Storeman,1
Forager,1
Ford Boy,1
Forder in Spinning Mill,1
Fordge Stores,1
Fordler,1
Fordsman,1
Fore Man,1
Fore Man Boat Butcher,1
Fore Man Bundler Yarn,1
Fore Man Labourer,1
Fore Man Miller,1
Fore Man Sweet Maker,1
Fore Man Tar Works,1
Fore Man Warper,1
Fore Man Work Man,1
Fore Man Yarn Bundle,1
Fore Man on Cty Council,1
Fore Said Farmer,1
Fore Woman In Stitching F,1
Fore Woman Over Stitchers,1
Fore Woman Seamstress,1
Fore Woman Shirt Maker,1
Fore Woman in Linen Wr,1
Fore Woman in Ware House,1
Fore Woman in Warehouse,1
Fore Woman in Wareroom,1
Fore Women,1
Fore man Mason,1
Fore-Man Gaffer,1
Fore-Man Tailor,1
Forege Man,1
Foreign Commercial Traveler (Linen),1
Foreign Commercial Traveller-Linen,1
Foreign Corespondent,1
Foreign Correspond,1
Foreign Correspondant,1
Foreign Correspondent Coml,1
Foreign Correspondent Linen Business,1
Foreign Correspondent Linen Trade,1
Foreign Correspondent in Linen Manufacturers,1
Foreign Manufacturer Agent,1
Foreign Missinary,1
Foreign Missionary ? (Minister),1
"Foreign Missionary B.A., R.U.I.",1
Foreign Traveller,1
Forelady Dressmaker,1
Forem an in Brewery,1
Forema Patter Maker,1
Foreman (Catle Department),1
Foreman (Coal Buisness),1
Foreman (Factory),1
Foreman (Foundry),1
Foreman (Grocer),1
Foreman (Grocery),1
Foreman (Printer) Compositor,1
Foreman (Salt Trade),1
Foreman (Soap Chandler),1
Foreman - Chemical Works,1
Foreman - Dock Labourer,1
Foreman - Gun Cotton,1
Foreman - Stevedore,1
Foreman ?,1
Foreman A. O. Dept,1
Foreman A.O.D,1
Foreman Agent,1
Foreman Agricultural Labourer,1
Foreman Areated Water Factory,1
Foreman Army Clothing Factory,1
Foreman Army Ord Dept,1
Foreman Army Ord: Dept:,1
Foreman Army Ordnance Dept,1
Foreman Army Ordnce Dept,1
Foreman B Smith,1
Foreman Bacon Curer,1
Foreman Barler,1
Foreman Battery Gold Mine South Africa,1
Foreman Beetler,1
Foreman Billposter,1
Foreman Bleacher Linen Works,1
Foreman Boot Maker,1
Foreman Boot Maker Unemployed,1
Foreman Both Miller,1
Foreman Bottler Lemonade,1
Foreman Brass Finisher,1
Foreman Brick Layer,1
Foreman Brick Works,1
Foreman Brickmaker,1
Foreman Brickworks,1
Foreman Brushmaker,1
Foreman Builders,1
Foreman Builders Labourer,1
Foreman Bulider in Flax Factory,1
Foreman Bundler Flax Yarn Retired,1
Foreman Bundler Yarn,1
