occupation,count
Wife of a Grocers Assistant,1
Wife of a Labr,1
Wife of a Mason,1
Wife of a Merchant,1
Wife of a Physician,1
Wife of a Police Constable,1
Wife of a Publican,1
Wife of a Reservist on Active Service (Laundress),1
Wife of a Retired Business Man,1
Wife of a Sawyer,1
Wife of a Small Farmer,1
Wife of a Smith,1
Wife of a Solicitor,1
Wife of a Tin Smith,1
Wife of a Tinsmith,1
Wife of a Writing Clerk,1
Wife of able Seaman Ro No Getting Half Pay,1
Wife of above Hanley,1
Wife of above Merchant,1
Wife of an Army Reservist,1
Wife of an Iron Moulder,1
Wife of ex. N. Teacher,1
Wife of no 2,1
Wife of the General Merchant,1
Wife of the Late Steward and Gardener,1
Wife of the Quid Joseph Smith,1
Wife of the above,1
Wife or Merchant,1
Wife to Acting Sergt R.I.C,1
Wife to Agricultural Labourer,1
Wife to Agril Labourer,1
Wife to Army Pensioner,1
Wife to Buttermerchant who was absent on 31:3:1901,1
Wife to Carpenter,1
Wife to Civil Bill Officer,1
Wife to Coachman Domestic Servt,1
Wife to Const R.I.C,1
Wife to Cornelius,1
Wife to Court R I C,1
Wife to Daniel Murphy,1
Wife to Doctor on Foreign Service,1
Wife to Eugene Lawlor,1
Wife to Farm Servant,1
Wife to Farmer's Son,1
Wife to Hd of Family,1
Wife to Head of Family,1
Wife to Herd's Man,1
Wife to Him,1
Wife to Ho Porter conduct sale ?,1
Wife to Labour,1
Wife to Labourer in From Works,1
Wife to Land Steward,1
Wife to Landlord D.L.T.P,1
Wife to Last No.,1
Wife to Lastmentioned,1
Wife to Latter,1
Wife to Owner of House,1
Wife to P.S.C,1
Wife to Paymaster R Navy on Active Service,1
Wife to Pt Soldier,1
Wife to Railway Stoker,1
Wife to Ser R.I.C,1
Wife to Sergt R.I.C,1
Wife to Shopkeeper,1
Wife to Tailor,1
Wife to a Labourer,1
Wife to head of House,1
Wife to the Painter,1
Wife to the above,1
"Wife, No Particular College",1
"Wife, of Royal Engineer Man",1
Wife-Domestic House Keeper,1
Wife-House Duties,1
Wife-House Keeper,1
Wife-Housekeeper,1
Wife-Presbytern Minister,1
Wife?,1
Wifes,1
Wifes Mother,1
Wifes Sister,1
Wifes of Above,1
Wiffe,1
Wift Office,1
Wift Winder,1
Wift Winder in Linen factory,1
Wight Watchman,1
Will Doffer,1
Will be Going to School Soon,1
Will be Scholar,1
Willen Weaver,1
William Davis Serving his Time,1
Willie Quinn Son,1
Willow Dealer,1
Willow Meath Mean Banh,1
Wimer,1
Win Bottler,1
Win Factory,1
Win Jute Factory,1
Win Merchant,1
Win Mercht,1
Win Porter,1
Win a Saitchinill,1
Win and Spirit Merchant,1
Winch Boy in Ship Yard,1
Winch Driver,1
Wincher,1
Wind Merchant,1
Winder (Apprentice),1
Winder (Flax) Unemployed,1
Winder (In Mill),1
Winder (Linen Factoy),1
Winder (Linen Yarn),1
Winder (Megt),1
Winder (Service),1
Winder (Unemployed),1
Winder (Wool),1
Winder (in L Mill),1
Winder ?,1
Winder Assistant,1
Winder Blind Maker,1
Winder Factory (Linen),1
Winder Factory Girl,1
Winder Farm,1
