occupation,count
Boy Copyist Nat Education,1
Boy Copyist S.P.O,1
Boy Copyist Stamps and Traders Dept Dublin,1
Boy Copyist in Census Office,1
Boy Copyist in the Irish Land Commission,1
"Boy Copyist, Dept of Agriculture and (Fisheries Branch) Dublin",1
"Boy Copyist, Goal Government Board for Ireland",1
"Boy Copyist, H. M. Quit Rent Office",1
"Boy Copyist, Secretary's Office General Post Office, Dublin",1
Boy Copyist-Civil Service Irish Land Commission,1
Boy Copyists,1
Boy Copyright Census,1
Boy Domestic Servet,1
Boy Farmer,1
Boy Goods Agent,1
Boy Laborer A. O. Dept,1
Boy Labourer at Works,1
Boy Maid,1
Boy Messenger(Civil Service),1
Boy Oak Caven,1
Boy Own Carver,1
Boy Painter,1
Boy Quaker,1
Boy Reader,1
"Boy S.S. ""Tearaght""",1
Boy Seaman,1
Boy Sergeant Roy on Royal Artillary,1
Boy Soldier,1
Boy Writer,1
Boy Writer Hand Volin Hospital,1
Boy and Foreman,1
Boy and Messenger,1
Boy at Work,1
Boy in House and Stable,1
Boy in Mill Labourer,1
Boy in a Daily Boat,1
Boy of All Work,1
Boy. Oak. Carirer,1
Boyle Low Murray and Co Bank,1
Boyler Maker Helper,1
Boyler Maker Plater,1
Boyler Makers Labourer,1
Boylermaker,1
Boylormaker,1
Boyoak Cardor,1
Boyoak Carver,1
Boyoak Dealer,1
Boyond Labour,1
Boys Clothes Machinest,1
Br 5th Depot R Fit,1
Br Labour,1
Br?tter,1
Brace Finisher,1
Brack Layer Labour,1
Brack Smith,1
Bracklayess Labourer Unemployed,1
Brad Server Son,1
Brad Van Driver,1
Brader in Factory,1
Bradey House Keeper,1
Bradford Dress Trade commercial Traveller,1
Brady Bootrep,1
Braider Belfast Rope Works,1
Braider Factory,1
Braider Frane Hits,1
Braider Net Maker in Rope Factory,1
Braider Rope Works,1
Braider in Ropeworks,1
Braider-(Nets),1
Braiding Factory,1
Braieder,1
Brakemans,1
Braker,1
Braker in Mill,1
Brakes Man,1
Brakesman Horses,1
Brakesman in Ry,1
Brakesman on Function Engine,1
Brakesman on Ry. Engine,1
Braklayers Labourer,1
Bran Merchant,1
Branch Bank Managra,1
Branch Bank Sub Manager,1
Branch Manager Gas Apprentice business,1
Branch Manager Grain and Flour Merchants,1
Branch Manager Sawing Machine Cy,1
Branch Manager for Advertising Contractor,1
Branch Manager to a Brewing Firm,1
Branch Office Inspector Tourist Coy,1
Branch-Royal Engineers,1
Branch-Royal Engineers Rank-Sappers,1
Brand Bank Manager,1
Brand Finisher,1
Brand Manager of Printing and Advertising Co,1
Brand Office Clerk,1
Brander,1
Brander at Butler Market,1
Branding in Jute Factory,1
Brands Bank Inspector,1
Branofork Tuner,1
Brans Engraver,1
Braper's Apprentice,1
Brarber,1
Brarshing House,1
Bras Fitter,1
Brase Finisher Gas Fitter,1
Brasfaind and Gasfitter,1
Brasfinisher,1
Brash Maker,1
Brass,1
Brass - Founder,1
Brass - Moulder,1
Brass - Worker,1
Brass Copper and Iron Worker,1
Brass Dresser in Shipyard,1
Brass Driller,1
Brass Engraser,1
Brass F. Moulder,1
Brass Ferrule Maker,1
Brass Fettler on Railway,1
Brass Fincher,1
Brass Finished,1
Brass Finisheer,1
Brass Finisher A,1
Brass Finisher Apprentice and Turner,1
Brass Finisher Empd,1
Brass Finisher Unemployed,1
Brass Finisher and Electrician,1
Brass Finisher and Plummer,1
Brass Finisher at Ry Works,1
Brass Finisher for Foundry,1
Brass Finisher in Shipyard,1
Brass Finisher in Works,1
"Brass Finisher, Unemployed",1
Brass Finishers,1
Brass Finishing,1
Brass Finishing Apprentice,1
Brass Finnesher,1
Brass Finsher in Shipyard,1
Brass Fisnisher,1
Brass Fitter Unemployed,1
Brass Foulder,1
"Brass Founder ""Finisher""",1
Brass Founder Manufacturer,1
Brass Founder Master,1
Brass Founder Mechanic,1
Brass Founder and Gas Fitter,1
Brass Fourder and Fitter,1
Brass Frinisher at Works,1
Brass Frinshers,1
Brass Frounder,1
Brass Furnisher,1
Brass Furnishers,1
Brass Instrument Maker,1
Brass Lacguerist,1
Brass Lacquerer,1
Brass Launder,1
Brass Lurner,1
Brass Maulder,1
Brass Molder and Finisher,1
Brass Moudler,1
Brass Moulden Apprentice,1
Brass Plate Engraver,1
Brass Polsher,1
Brass Pounder,1
Brass Publisher at Worker,1
Brass Shop Labourer,1
Brass Smith,1
Brass Trade Moulder,1
Brass and Iron Mould,1
Brass and Iron Moulder,1
Brass and Iron Moulder and Farmer,1
Brass dresser,1
"Brass, Finisher",1
"Brass, Moulder",1
Brass-Founder,1
Brass-Fownder,1
Brassdresser,1
Brassfinesher,1
Brassfinisher Scholar,1
Brassfinisher Unemployed,1
Brassfinisher and Gas Fitter,1
Brassfinisher and Gasfitter,1
Brassfinisher at Works,1
Brassfinisher-Unemployed,1
Brassfinishing,1
Brassfinishing Apprentice,1
Brassfounder Finisher,1
Brassfounder Master,1
Brassfounder at Railway Works,1
Brassfounder's Asint,1
Brassfounder's Stamper,1
Brassmaker,1
Brassmoulder in Foundry,1
Brassmoulder's Son,1
Brassmoulder's Wife,1
Brassprisher,1
Brassturner,1
Brassworker,1
Bratman at Interest of Money,1
Braver,1
Bravery Labourer,1
Brawery Agent,1
Brawery Labour,1
Brawery Labourer,1
Brayer Woollen Drapery,1
Brazer,1
Braziers,1
Brch Layer,1
Brcklayer's Labourer,1
Brcklayers Labourer,1
Brdiscuit Packer,1
Brea?t Cart Driver,1
Breackely Helper,1
Bread - Deliverer,1
Bread - Van Driver,1
Bread Bakers Clerk,1
Bread Car-Driver,1
Bread Carrier,1
Bread Carrier and Messenger,1
Bread Cart Deliverar,1
Bread Cart Driver and Farmer,1
Bread Cart-Driver,1
Bread Checker,1
Bread Clark,1
Bread Clerk,1
Bread Clerk in Bakery,1
Bread Cost Driver,1
Bread Deliver,1
Bread Factory Manager,1
Bread Man Domestic Servant,1
Bread Merchant,1
Bread Room Clark,1
Bread Room Clerk Bafary,1
Bread Salesman,1
Bread Salesman Bakery,1
Bread Seaver,1
Bread Seever,1
Bread Seller,1
Bread Serner,1
Bread Servant,1
Bread Servar,1
Bread Servel,1
Bread Serven,1
Bread Server Car Driver,1
Bread Server Domestic Servant,1
Bread Server Unempl,1
Bread Server and Baker,1
Bread Servers Daughter,1
Bread Serves,1
Bread Servor,1
Bread Van - Driver,1
Bread Van Carriage Bolandsco,1
Bread Van Driver General Servant,1
Bread Van Driver Labourer,1
Bread Van Driver Stillorgan,1
Bread Van driver,1
Bread Van driver or Farmer,1
Bread Vandriver,1
Bread Vender,1
Bread Vendor,1
Bread Vn Driver,1
Bread Wever,1
Bread and Biscuit Baker,1
Bread and Driver,1
Bread and Flour Business,1
Bread van driver,1
"Bread, Van Driver",1
Bread-Man,1
Bread-Van-Man,1
Breadcart Driver,1
Breadcast Driver,1
Breadcower,1
Breadoare Driver,1
Breadserver Unemployed,1
Breadserver and Grocer,1
Breadservers,1
Breadsurver,1
Breadvandriver,1
Break Dealer,1
Break Letter,1
Break Smith Master,1
Break Tyier,1
Break Vanman,1
Breake Layer Labour,1
Breaking Stones,1
Breaks Stones,1
Breaksman,1
Breanther,1
Breass Mill Worker,1
Breath Server,1
Breck layers Labourer,1
Brecklayer,1
Breckler Employ,1
Bred Car Driver and General Servant,1
Bred Shop Assistant,1
Bredick Seaman,1
Bredserver,1
Breed Car Driver,1
Breed Cor Driver,1
Breed Salesman,1
Breek and Stone Layer,1
Breeklayer,1
Brees Finisher,1
Bregude Turg Ind Welp (Materiel) Ino Iu I. MBCSE,1
Brenchy Labourer,1
Brend Van Driver,1
Brener,1
Brener's Agent,1
Brentice and Tailor,1
Bresfinisher,1
Bresh Maker,1
Bresklayers Labourer,1
Bress Founder,1
Bress Moulder,1
Bresser,1
Bressfinisher,1
Brest Man,1
Bretler in Bleach Works,1
Brever's Traveller,1
Brevery Agent,1
Brevery Laborer,1
Brevery Labour,1
Brewars Labourer,1
Brewary Agent,1
Brewary Car Driver,1
Brewary Clerk,1
Brewary Cooper,1
Brewary Dray Man,1
Brewary Foreman,1
Brewary Labour,1
Brewary Traveller,1
Brewary Van Man,1
Breway Laboure,1
Brewer Agent,1
Brewer Apprentice,1
Brewer Clerk,1
Brewer I. P. Ald,1
Brewer I.P.,1
Brewer Managing,1
Brewer Van Man,1
Brewer Working,1
Brewer and Banker,1
Brewer and Clerk,1
Brewer and Distillers,1
Brewer and Malster,1
Brewer and Wholesale Botter,1
Brewer in Distillery,1
Brewer of Work,1
Brewer's Assistant,1
Brewer's Book Keeper,1
Brewer's Cashier,1
"Brewer's Chemist, B.Sc, Examiner to the Pharmaceutical Society",1
Brewer's Clerk (Commercial),1
Brewer's Confidential Clerk,1
Brewer's Dragman,1
Brewer's Travelling Agent,1
Brewer-Superintending,1
Brewere Labourer,1
Brewers Agent and Mineral Water Manufacturer,1
Brewers Agents,1
Brewers Assistant,1
Brewers Carrier,1
Brewers Cashier,1
Brewers Charges,1
Brewers Chemist,1
Brewers Clark,1
Brewers Commercial Clerk,1
Brewers Commercial Traveller,1
Brewers Dray Man,1
Brewers Drayman Labourer,1
Brewers Helper,1
Brewers Laberour,1
Brewers Laboure,1
Brewers Labourer of A.G.S,1
Brewers Labourrer,1
Brewers Manager,1
Brewers Messenger,1
Brewers Stoneman,1
Brewers Storeman,1
Brewers Traveller and Spirit Gracor,1
Brewers Wife,1
Brewers agent,1
Brewers and Bookeeper,1
Brewers and Tea Agent,1
Brewers' Clerk,1
"Brewers, Carter",1
"Brewers, Commercial Traveller",1
Brewerss Agents,1
Brewery (Carman),1
