occupation,count
Cottier and Labourer Agr,1
Cottier and Retired Laundress,1
Cottier or Samll Farmer,1
Cottier's Aunt in Law,1
Cottiers - Daughter,1
Cottiers Mother in Law,1
Cotting Weaver,1
Cottle and Sheep Dealer,1
Cottoger,1
Cottoier,1
Cotton (Weaver),1
Cotton - Blucher,1
Cotton - Spinner,1
Cotton - Winder,1
Cotton Ball Beamer,1
Cotton Barner,1
Cotton Beamll,1
Cotton Betteler,1
Cotton Bettler in Dyeworks,1
Cotton Bleacher,1
Cotton Bluer in Bleach Works,1
Cotton Cloth Finisher,1
Cotton Cloth Inspector,1
Cotton Comber,1
Cotton Cut Winder,1
Cotton Deyer,1
Cotton Doubler,1
Cotton Embroider or Sprigger,1
Cotton Embroiderer Sewing,1
Cotton Embroiderer and House Keeper,1
Cotton Embroiderer and Washerwoman,1
Cotton Embroiderer or Spriggers,1
Cotton Embroideres,1
Cotton Factory Factory Weaver,1
Cotton Factory Worker,1
Cotton Finsher,1
Cotton Folder,1
Cotton Haf Manufr Master,1
Cotton Hdkf Manufacturer,1
Cotton Hdkf Salesman,1
Cotton Hole Cutter,1
Cotton Knitter,1
Cotton Labourer,1
Cotton Lapper in Dyeworks,1
Cotton Linen Dyer,1
Cotton Linen Weaver,1
Cotton Maker up,1
Cotton Manager,1
Cotton Mantle,1
Cotton Mill,1
Cotton Mill Carder,1
Cotton Mill Fireman,1
Cotton Mill Framer,1
"Cotton Mill Half Scholar, Timer",1
Cotton Mill Manager,1
Cotton Mill Overlooker,1
Cotton Ornamenter,1
Cotton Pacer,1
Cotton Packer,1
Cotton Piercer,1
Cotton Sizer,1
Cotton Sorter,1
Cotton Spinder,1
Cotton Spinne,1
Cotton Spinner (Unemployed),1
Cotton Spinner Mill Hand,1
Cotton Spinner Out of Work,1
Cotton Spinner at Works,1
Cotton Spinner in Mill,1
Cotton Spinning Over Loker,1
Cotton Stitcher,1
Cotton Tapper,1
Cotton Thread Spooler,1
Cotton Threads in Factory Spooler,1
Cotton Trussed Room,1
Cotton Twisting,1
Cotton W? Factory,1
Cotton Warper in Factory,1
Cotton Waxer,1
Cotton Weaver C,1
Cotton Weaver Cotton,1
Cotton Weaver Factory,1
Cotton Weaver Farmer's Daughter,1
Cotton Weaver Mill-Hand,1
Cotton Weaver Mill-Worker,1
Cotton Weaver and Army Pensioner,1
Cotton Weaver at Factory,1
Cotton Weaver in Cotton Factory,1
Cotton Weaverer,1
Cotton Weavor,1
Cotton Weover,1
Cotton Winder Factory,1
Cotton Winder Factory Worker,1
Cotton Winder Unemployed,1
Cotton Windes,1
Cotton Wister in Factory,1
Cotton Woaver,1
Cotton Worper,1
Cotton Worpor,1
Cotton Yarn Beaner,1
Cotton Yarn Dresser,1
Cotton and Linen Handkerchief Manager-Finished Department,1
Cotton and Weaver,1
Cotton in Mill Spinner,1
Cotton slasher,1
Cotton weaver,1
"Cotton, Winder",1
Cotton-Drawer or Mill Worker,1
Cotton-Drower in,1
Cottone Weaver (Unemployed),1
Cottor,1
Cottor Weaver,1
Couch Body Maker,1
Couch Man,1
Couchman Apprentice,1
Couchman-Domestic Servant,1
Coucleor R.I.C Pens?,1
Coue Clerk Grocery,1
Couel Clerk Draped,1
Couel Man Domestic Servant,1
Coul and Coml Merchant,1
Coultry Dealer,1
Councell Labour,1
Council Clerk,1
Council Clerk to Co,1
Council Corpartion Labourer,1
Council Laborour,1
Council Labour,1
Council Labouror,1
