by-Bowland
by-Lincoln
by-Sawdon
By-Stone
by-the-Sea
cum-Sotwell
de-la-Zouch
du-Lac
en-Bas
en-le-Frith
in-Craven
in-Furness
in-Kendal
in-Makerfield
in-Rutland
in-Westmorland
le-Clay
le-Coggles
le-Dale
le-Ferne
le-Moorland
le-Moors
le-Sands
le-Street
le-Vale
le-Willows
on-Avon
on-Crouch
on-Dee
on-Hudson
on-Loddon
on-Otmoor
on-Ribble
on-Sea
on-Solway
on-Suir
on-Swale
on-Thames
on-the-Green
on-the-Heath
on-the-Hill
on-the-Lake
on-the-Water
on-Tone
on-Trent
on-Windermere
sur-le-Lac
sur-Mer
under-Lyne
under-Needwood
under-Wychwood
upon-Alun
upon-Humber
upon-Tweed
cum-hardy
le-Woods
at-Street
by-Farndon
on-Tees
le-Head
on-Eden
in-Gordano
sub-Mendip
sub-Edge
on-the-Bay
in-Teesdale
on-the-Wolds
by-Sea
over-Sands
on-Spey
le-Rice
on-Wye
on-the-Wall
In-Arden
le-Hole
in-the-Hedges
le-Hope
on-Spalding-Moor
cum-Studley
le-Side
le-Spring
le-Wear
on-Tees
le-Hole
in-Makerfield
In-The-Pines
on-Eden
in-Ashfield
in-Furness
le-Soken
du-Nord
aux-Noix
de-la-Haye
on-the-Solent
over-Sands
on-the-Severn
on-Ouse
upon-Severn
in-Elwel
in-Maine
in-the-Forest
le-Moor
on-Arrow
le-Pit
in-Teesdale
on-Leven
on-Sea
on-the-Wolds
under-Wychwood
in-Marsh
on-Lune
on-Stour
on-Wye
under-Lyme
on-Tay
in-Cartmel
in-the-Isle
on-Ouse
on-Rawcliffe
with-Scales
by-Spital
on-Cliffe
on-the-Wolds
in-the-Moors
le-Clay
on-Derwent
on-Severn
on-the-Lakes
in-Wharfedale
le-Fylde
under-Scar
on-Dunsmore
of-the-Woods
de-Valleyfield
cum-Virley
by-the-Sea
on-the-lake
on-Cherwell
in-Meneage
upon-Thames
by-Dale
on-the-Wolds
in-Cartmel
by-Clare
by-Nayland
on-Trent
upon-Trent
on-Severn
on-the-Wold
by-Chartley
upon-Avon
on-the-Fosse
on-Dunsmore
on-Fosse
in-Craven
on-the-Forest
under-Brailes
under-Whitestonecliffe
on-Usk
in-Arden
le-Beans
le-Clay
le-Dale
le-Moor
le-Moors
le-Street
le-Soken
on-the-Naze
on-Eden
on-Avon
next-the-Sea
on-the-Green
under-Lizard
in-the-Vale
On-The-River
on-the-Wolds
on-the-Severn
le-Wear
on-Loddon
by-Colsterworth
under-Edge
cum-Frith
On-The-Marsh
