Abbeville
Abbey
Abbeydale
Abbeydorney 
Abbeyfeale 
Abbeyleix 
Abbeyville
Abbotsford
Abbotsham
Aber
Abercanaid
Abercorn
Abercrombie
Abernant
Aberthaw
Abinger
Ablington
Abney
Abraham
Abram
Achmore
Ackers
Acklam
Adamstown 
Adare 
Adderley
Adel
Adley
Admaston
Afton
Aghada
Aghamore
Aghatubrid
Aghaville
Aghoo
Aglish 
Ahadallane
Ahascragh 
Aherla
Ahnagh
Aigburth
Aird
Airds
Airedale
Aireworth
Airlie
Aisby
Aish
Aisholt
Aislaby
Aith
Albany
Albion
Alby
Alcombe
Aldborough
Alder
Alderbrook
Alderford
Alderley
Aldersey
Aldgate
Aldham
Aldie
Aldsworth
Aldwark
Aldwick
Aley
Allandale
Allbrook
Allen
Allen's
Allenwood 
Aller
Allerford
Allerton
Allesley
Allestree
Alloway
Allscott
Allwood
Alma
Almondbury
Almshouse
Alport
Alscot
Alstone
Alt
Altcar
Altofts
Alum
Alverton
Alvie
Alwington
Alwoodley
Anagaire
Anaglog
Anchorage
Anderby
Anderson
Anderton
Anglesey
Angram
Anlaby
Ann
Annacotty 
Annadale
Annagassan 
Annagh
Annaghdown 
Annagry
Annamoe
Annascaul 
Annat
Annesbrook
Anns
Anslow
Anston
Anton
Antony
Apley
Appin
Applecross
Applegarth
Appletree
Appley
Apsley
Ara
Arbury
Arclid
Ard
Ardagh 
Ardaghy
Ardara 
Ardbeg
Ardea
Ardee 
Ardeen
Arden
Ardfert 
Ardfinnan 
Ardler
Ardley
Ardmore 
Ardnacrusha
Ardnaree
Ardoch
Ardrahan
Ards
Ardskeagh 
Ardsley
Ardsollus
Ardvally
Ardwick
Arigna
Arkendale
Arkle
Arklow 
Arkwright
Armathwaite
Armley
Arnprior
Arowry
Arram
Arrington
Arrochar
Arthurlie
Arthurs
Arthur's
Arthurstown 
Arva
Arvagh
Asby
Asgarby
Ashampstead
Ashbank
Ashbourne 
Ashbrook
Ashford 
Ashgate
Ashgrove
Ashland
Ashmead
Ashtown
Ashwick
Ashwood
Askeaton 
Askham
Askill
Astle
Astley
Astrop
Astwood
Athboy 
Athea 
Athenry 
Atherfield
Athersley
Athgarvan 
Athleague 
Athlone 
Athy 
Atkinson
Attadale
Attavally
Auchencairn
Auchtertyre
Auckland
Aughboy
Aughnacliffe 
Aughrim 
Auldhouse
Averham
Avery
Avington
Avisford
Avoca 
Avon
Axford
Axton
Aylesford
Aylestone
Ayres
Babbs
Bache
Bacon
Baconsthorpe
Badbury
Badcall
Baddow
Bagley
Bagpath
Bagthorpe
Baile
Bailey
Bailieborough 
Baillieston
Bainbridge
Balblair
Balbradagh 
Balbriggan 
Balchraggan
Balderstone
Baldoyle
Baldwinstown
Balfour
Balgeeth
Balgowan
Balinoe
Balla 
Ballagh
Ballaghaderreen 
Ballaghboy
Ballaghmore
Ballaghnatrillick
Ballam
Ballard
Ballina 
Ballinabrannagh 
Ballinaclash 
Ballinafad
Ballinagar 
Ballinagh 
Ballinakill 
Ballinalack 
Ballinalee 
Ballinameen 
Ballinamore 
Ballinasloe 
Ballincar 
Ballincloher
Ballincurra
Ballindangan
Ballindine 
Ballineen
Ballingarry 
Ballingeary
Ballinlassa
Ballinlough 
Ballinluig
Ballinphull
Ballinroad 
Ballinrobe 
Ballinruan
Ballinspittle 
Ballinteskin
Ballintlea
Ballintleva
Ballintober 
Ballintogher 
Ballintra 
Ballinure
Ballinvally
Ballinvinny
Ballisodare 
Ballivor 
Ballon 
Balloor
Ballure
Ballyadam
Ballyagran 
Ballybane
Ballybaun
Ballybay 
Ballybeg
Ballybofey
Ballyboggan
Ballyboghil 
Ballyboy
Ballybrack
Ballybrittas 
Ballybrophy
Ballybunion 
