occupation,correction
Coach Painter,Coach Painter
Engineer,Engineer
Sawyer,Sawyer
Carrier,Carrier
House Servant,General Domestic Servant
Reeler,Reeler
Road Contractor,Road Contractor
Retired Grocer,Retired Grocer
Brewery Labourer,Brewery Labourer
Builder,Builder
Religious,615
Railway Servant,Railway Servant
Barman,Barman
Linen Lapper,Linen Lapper
Fowl Dealer,Fowl Dealer
Telegraphist,Telegraphist
Music Teacher,Music Teacher
Slater,Slater
Farmer's Widow,Farmer's Widow
Fitter,Fitter
Iron Turner,Iron Turner
Boarder,Boarder
Boiler Maker,Boilermaker
Interest of Money,Interest on Money
Veiner,Veiner
Factory Girl,Factory Girl
Herdsman,Herdsman
Monitress,Monitress
Smith,Smith
Publican and Farmer,Publican and Farmer
Insurance Agent,Insurance Agent
Labourer in Iron Works,Iron Works Labourer
Dairyman,Dairyman
Civil Engineer,Civil Engineer
Lace Worker,Lace Worker
Postmistress,Postmistress
Stonecutter,Stonecutter
Waiter,Waiter
Linen Spinner,Linen Spinner
F Daughter,Farmer's Daughter
Grocer Assistant,Grocer's Assistant
Railway Guard,Railway Guard
House Keeper Domestic,Housekeeper
Butler,Butler
Nothing,No Occupation
Nurse Domestic,Nurse Domestic Servant
House Holder,Householder
Scholar's,Scholar
Seamster,Seamster
Clergyman,Clergyman
Telegraph Messenger,Telegraph Messenger
Boot and Shoemaker,Boot and Shoe Maker
Annuity,Annuitant
Dairy Man,Dairyman
Shop Girl,Shop Girl
Traveller,Traveller
Farmer and Publican,Publican and Farmer
Labourer Genl,General Labourer
General House Work,Housework
Annuitant,Annuitant
Post Boy,Postboy
Master Tailor,Master Tailor
Householder,Householder
Mechanic,Mechanic
Gentleman,Gentleman
Servant General,General Domestic Servant
Assistant Housekeeper,Assistant Housekeeper
Carpenter Master,Master Carpenter
Private,Private
Shopkeeper and Farmer,Shopkeeper and Farmer
Pork Butcher,Pork Butcher
Assistant House Keeper,Assistant Housekeeper
Parish Priest,Parish Priest
Steward,Steward
Horse Trainer,Horse Trainer
Green Grocer,Greengrocer
Parlour Maid,Parlourmaid
Machine Boy,Machine Boy
Asylum Attendant,Asylum Attendant
Law Clerk,Law Clerk
Hotel Keeper,Hotel Keeper
No Trade,No Occupation
General Dealer,Dealer
Scholer,Scholar
Bricklayers Labourer,Bricklayer's Labourer
Yarn Reeler,Yarn Reeler
Cottier,Cottier
Farmer and Fisherman,Farmer and Fisherman
House Keeper Domestic Servant,Housekeeper
Farmer's Niece,Farmer's Niece
Tram Conductor,Tram Conductor
Barber,Barber
Farmer's Nephew,Farmer's Nephew
Sister of Charity,Nun
Agril Labourer,Agricultural Labourer
Book Binder,Bookbinder
Basket Maker,Basketmaker
Horse Dealer,Horse Dealer
Pensioner,Pensioner
Upholsterer,Upholsterer
Naval Pensioner,Naval Pensioner
Labourer Agrl,Agricultural Labourer
Lodger,Lodger
Railway Signalman,Railway Signalman
Spinner Flax,Flax Spinner
Brushmaker,Brushmaker
Draper's Apprentice,Draper's Apprentice
Photographer,Photographer
Sprigger,Sprigger
Provision Merchant,Provision Merchant
Schooler,Scholar
Farmer Brother,Farmer's Brother
Railway Engine Driver,Railway Engine Driver
Schoolboy,Scholar
Provision Dealer,Provision Dealer
Farmer and Carpenter,Farmer and Carpenter
Fancy Box Maker,Fancy Box Maker
Labour General,General Labourer
Flesher,Flesher
Land Owner,Landowner
Coal Porter,Coal Porter
Linen Finisher,Linen Finisher
No Scholar,Scholar
F Son,Farmer's Son
Grocer's Apprentice,Apprentice Grocer
Housekeeper Domestic,Housekeeper
Spinner in Mill,Mill Spinner
Draper Assistant,Draper's Assistant
Creamery Manager,Creamery Manager
Garden Labourer,Garden Labourer
Bleacher,Bleacher
Commission Agent,Commission Agent
General Merchant,General Merchant
?,Unknown
Baby,Child
Mariner,Mariner
Ploughman,Ploughman
Farmer Retired,Retired Farmer
Farmer's,Farmer
Typist,Typist
Wine Porter,Wine Porter
Flax Rougher,Flax Rougher
Journalist,Journalist
Stationer,Stationer
Bank Official,Bank Official
Grocer and Publican,Grocer and Publican
Kitchen Maid,Kitchenmaid
Laundry Worker,Laundry Worker
Vest Maker,Vest Maker
Land Agent,Land Agent
Domestic Work,Domestic Work
General Servant Dom,General Domestic Servant
Farmer and Shopkeeper,Farmer and Shopkeeper
Boarding House Keeper,Boarding House Keeper
Flax Scutcher,Flax Scutcher
Corporation Labourer,Corporation Labourer
Bread Server,Breadserver
Cattle Drover,Cattle Drover
Master Mariner,Master Mariner
Flax Spreader,Flax Spreader
Boxmaker,Boxmaker
Knitting,Knitter
Taylor,Taylor
Wash Woman,Washwoman
Landress,Laundress
Yarn Spinner,Yarn Spinner
Stationmaster,Stationmaster
Laundry Maid,Laundry Maid
Not Employed,No Occupation
Working on Farm,Agricultural Labourer
Farm Assistant,Farm Assistant
Farmer and Grocer,Farmer and Grocer
Hem Stitcher,Hemstitcher
Waitress,Waitress
Inmate,Inmate
Soldier's Wife,Soldier's Wife
Butler Domestic Servant,Butler
Housekeeper Domestic Servant,Housekeeper
House Property,House Property
Farmer and Shop Keeper,Farmer and Shopkeeper
Constable R.I.C,Police Constable
Fruit Dealer,Fruit Dealer
Quarry Labourer,Quarry Labourer
Pig Buyer,Pig Buyer
Carpenter and Farmer,Farmer and Carpenter
Schoolars,Scholar
Vintner,Vintner
Shirt Factory Worker,Shirt Factory Worker
Tea Agent,Tea Agent
Vanman,Vanman
Married Woman,Married Woman
Religions,316
Farmer's Daughter in Law,Farmer's Daughter in Law
Housekeeper at Home,Housekeeper
Schoolmaster,Schoolmaster
Carpenter Unemployed,Unemployed Carpenter
Bank Manager,Bank Manager
Saleswoman,Saleswoman
Hawker,Hawker
Shirt Cutter,Shirt Cutter
Kitchen Maid Domestic Servant,Kitchenmaid
Schoolmistress,Schoolmistress
Doffer,Doffer
Police Pensioner,Police Pensioner
Gentlewoman,Gentlewoman
Room Keeper,Roomkeeper
Small Farmer,Farmer
General Domestic,General Domestic Servant
Nun,Nun
Folder,Folder
Retired Servant,Retired Servant
Pig Dealer,Pig Dealer
Shopman,Shopman
Winder in Factory,Factory Winder
Beggar,Beggar
Coast Guard,Coastguard
Ship Yard Labourer,Shipyard Labourer
Brass Finisher,Brass Finisher
Ironmonger,Ironmonger
Shirtmaker,Shirtmaker
Collier,Collier
Railway Ganger,Railway Ganger
Chemist,Chemist
Mill Labourer,Mill Labourer
Coal Merchant,Coal Merchant
Merchant Tailor,Merchant Tailor
Publican and Grocer,Grocer and Publican
Midwife,Midwife
Shepherd's Son,Shepherd's Son
Car Man,Carman
Wood Turner,Wood Turner
Employed at Home,Housework
Linen Merchant,Linen Merchant
Pensioner R.I.C,Police Pensioner
A Labourer,General Labourer
Draperess,Draper
A Scholar,Scholar
Farrier,Farrier
Hemsticher,Hemstitcher
Hotel Proprietor,Hotel Proprietor
Shepherd's Daughter,Shepherd's Daughter
Apprentice Carpenter,Apprentice Carpenter
Not Attending School,Not Attending School
Ship Carpenter,Ship Carpenter
Storekeeper,Storekeeper
Household Duties,Housework
Letter Carrier,Letter Carrier
Stoker,Stoker
Flax Reeler,Flax Reeler
Moulder,Moulder
Servant Farm,Farm Servant
Solicitor's Clerk,Solicitor's Clerk
Poulterer,Poulterer
Private Means,Private Means
Warehouseman,Warehouseman
Assistant Farmer,Farmer's Assistant
Embroider,Embroider
Farmers son,Farmer's Son
Linen Bleacher,Linen Bleacher
Office Boy,Office Boy
Assistant in Shop,Shop Assistant
Coachman Domestic,Coachman Domestic Servant
Widow,Widow
Herd's Daughter,Herd's Daughter
Tobacconist,Tobacconist
Jeweller,Jeweller
R.I.C. Pensioner,Police Pensioner
Reeler in Mill,Mill Reeler
Stable Boy,Stableboy
Constable R I C,Police Constable
Spinner Linen,Linen Spinner
Domestic Servant Unemployed,Unemployed Domestic Servant
R.I.C Pensioner,Police Pensioner
