Can r write,Read Write
Can reed and rite,Read Write
Reade and rite,Read Write
Can read or rite,Read Write
Cannot rite,Read
Can Read,Read
Learning,Read Write
C read write,Read Write
Can reed write,Read Write
Can read right,Read Write
Neither read and write,Illiterate
English,Read Write
Can rd and write,Read Write
Cant Read,Illiterate
Reed wright,Read Write
Cannot r nor write,Illiterate
No scholar,Read Write
Baby,Illiterate
R and r,Read Write
Can neither read nor write,Illiterate
Can read wright,Read Write
Not stated,Unknown
Cant r or write,Illiterate
Read and wrigt,Read Write
She can read and write,Read Write
Read or rite,Read Write
Yes read write,Read Write
Cannot read nor w,Illiterate
Not able to read or write,Illiterate
Cannot rea,Illiterate
Re and write,Read Write
Nill,Illiterate
Canot write,Read
Schoolar,Read Write
Not known,Unknown
Rread write,Read Write
All can read and write,Read Write
Read cannot,Illiterate
Both read write,Read Write
R W,Read Write
Cant read nor rite,Illiterate
Reid and wright,Read Write
Yes can read and write,Read Write
Reead and write,Read Write
Read cant write,Read Write
Cannot read only,Read
Read and wre,Read Write
Read and wte,Read Write
Cannot either,Illiterate
Cannt read or write,Illiterate
Reed right,Read Write
He read and write,Read Write
Read onley,Read
Can read and,Read Write
Can read writ,Read Write
Read and not write,Read
Can read wr,Read Write
Can read and c write,Read Write
Read not rite,Read
Cannot re,Illiterate
Both r and w,Read Write
Too young,Illiterate
Can reade and write,Read Write
Cannot rad,Illiterate
Read Rite,Read Write
Read a little,Read
Can and write,Read Write
No read,Illiterate
Can read and wite,Read Write
Read and Right,Read Write
Not at school,Illiterate
Not r or write,Read Write
Cant reed,Illiterate
Read and writer,Read Write
Can read an rite,Read Write
Read o write,Read Write
Read write and c,Read Write
Cannot riad,Illiterate
No read or write,Illiterate
Read write etc,Read Write
Cannot and write,Illiterate
Reade rite,Read Write
Cannot read or wri,Illiterate
She read and write,Read Write
Cannot read are write,Illiterate
Yes Read and write,Read Write
Can only read,Read
Cant say,Unknown
Cannot Read and write,Illiterate
Read c write,Read Write
Reid only,Read
Reid and right,Read Write
Both Read and write,Read Write
Read and wrighte,Read Write
Reade only,Read
Reand and write,Read Write
Cannot read none,Illiterate
Can rite,Write
Red,Read
Reads writes,Read Write
Can write read,Read Write
Read and W,Read Write
Can reade,Read
Not reed,Illiterate
All read and write,Read Write
Cannot read o write,Illiterate
Read and wight,Read Write
Read an right,Read Write
Not read not write,Illiterate
Neather,Illiterate
Able to read and write,Read Write
Canot red,Illiterate
Can't read and write,Illiterate
Can read and c,Illiterate
Not read or w,Illiterate
Can read a rite,Read Write
Write and write,Read Write
Can red,Read
Canno read,Illiterate
Read and Wright,Read Write
Cannot r or r,Illiterate
Rede and write,Read Write
Not educated,Illiterate
Can write only,Write
Cannot read or wite,Illiterate
Neighter,Illiterate
Read and wrght,Read Write
Nothing,Illiterate
Cannot read or r,Illiterate
Canot r or w,Illiterate
Scholar read and write,Read Write
Read rit,Read Write
Wread write,Read Write
Redd write,Read Write
Cannot redd,Illiterate
Can read and wrt,Read Write
Infants,Illiterate
CanNot read or write,Illiterate
Reed and writ,Read Write
W r,Read Write
Attending School,Read Write
Can do neither,Illiterate
Not able to read,Illiterate
Read and writh,Read Write
Cannot reid or write,Illiterate
Niether,Illiterate
Red and writ,Read Write
Cant read or wright,Illiterate
Canot read or w,Illiterate
Cant read rite,Illiterate
Read and ritte,Read Write
Dont read,Illiterate
Cannot not,Illiterate
W read and write,Read Write
Not able,Illiterate
Read but not write,Read
Can read onely,Read
Cannot reed or write,Illiterate
Read and wrie,Read Write
Can Read write,Read Write
Can read cant write,Read
Not read nor rite,Illiterate
Read in write,Read Write
Cannot read scholar,Illiterate
Cant read or right,Illiterate
Cannot rede,Illiterate
Cannot do either,Illiterate
Rite,Write
Read and write only,Read Write
She can read,Read
Cannot read or wirte,Illiterate
Red only,Read
Can reid,Read
Canott read,Illiterate
C read only,Read
Canot r or write,Illiterate
Unk,Unknown
Cannot read and wrt,Illiterate
C read or write,Read Write
Cannot no read,Illiterate
Cannot read or wt,Illiterate
Illitrate,Illiterate
Connot read or write,Illiterate
School boy,Read Write
Can r and r,Read Write
Read nor rite,Illiterate
No Education,Illiterate
Canot reid,Illiterate
Cann read,Read
Can read and wri,Read Write
Wreed and write,Read Write
Can riad and write,Read Write
Can not read nor write,Illiterate
Scoller,Read Write
Read and c,Read Write
He can read write,Read Write
Cannot read and writ,Illiterate
Scolars,Read Write
Read and write a little,Read Write
Read wri,Read Write
Cannot read and right,Illiterate
Cannot write and read,Illiterate
Cannot read or Write,Illiterate
He can read,Read
Reid rite,Read Write
