Roman Catholic,Roman Catholic.1,Classification,Orientation,Theology,Polity
Ch Ireland Episcopalian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Old Presbyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Protestant I C Episcopalian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Latter Day Saint,Mormon,Christianity,Restorationist,Nontrinitarian,Hierarchical
Bible Christian,Bryanite,Unknown,Unknown,Unknown,Unknown
Episcopelian Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
R CatholicK,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cattiolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cathlic R,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catchlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathlicke,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Chalice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presybetarian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Israelites,Jewish,Judaism,N/A,N/A,N/A
Ro Cathlice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Ronam Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Plimoth Brethern,Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
Quakers,Quaker,Christianity,Protestant,Nontrinitarian,Congregational
Prot Episl Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Moravion Church,Moravian,Unknown,Unknown,Unknown,Unknown
Unetarian,Unitarian,Christianity,Liberal,Nontrinitarian,Congregational
Church Ired,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Church of Irelind,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbytierian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Listter Protestant,Listter Protestant,Unknown,Unknown,Unknown,Unknown
Romian Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catlige,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Congerational,Congregationalist,Unknown,Unknown,Unknown,Unknown
Roman Catholicc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catchiloc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Irish Protestant Episcopal Ch,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Duncairn Methodist Church,Methodist,Christianity,Protestant,Trinitarian,Connexional
Wesleyen Methodist,Wesleyan Methodist,Unknown,Unknown,Unknown,Unknown
Reformed Prebysterian,Reformed Presbyterian,Unknown,Unknown,Unknown,Unknown
Ch of Ired,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
R Cathiloce,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cathlick Religion,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Epesquapelion,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbytarians,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catherolics,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Chruch of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catholer,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Ireland St Markes P,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Irish Schurch,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Prespateran,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbytirain,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Catrolick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Ireand,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbyterian Meeting,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
New Conection Methodist,Methodist New Connexion,Unknown,Unknown,Unknown,Unknown
Jewish Persuasion,Jewish,Judaism,N/A,N/A,N/A
Roman Catholic St Kevins,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prespetrin,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbtarion,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prysbetrain,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catcholc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Evangelical,Evangelical,Unknown,Unknown,Unknown,Unknown
Rc Catholick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholic R C Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cahholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Independt,Independent,Unknown,Unknown,Unknown,Unknown
Irish Presbtaren Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Cathelic R,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Weslan Methodist,Wesleyan Methodist,Unknown,Unknown,Unknown,Unknown
Romon Cathilic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catiolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Baptized Believer,Baptist,Christianity,Protestant,Trinitarian,Congregational
Leiteran,Lutheran,Christianity,Protestant,Trinitarian,Episcopal
Chatolics,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
U Presbyterian Church,United Presbyterian,Unknown,Unknown,Unknown,Unknown
Catolic Roman,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Romen Cathelic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyteryian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbeteryan,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Methodist New Con,Methodist New Connexion,Unknown,Unknown,Unknown,Unknown
P Episcopelian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catholioc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catchorlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Chotolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Anglo Catholic,Church of England,Unknown,Unknown,Unknown,Unknown
Indipendent,Independent,Unknown,Unknown,Unknown,Unknown
Chatolic R,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathologhue,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presptyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Church England Protestant,Church of England,Unknown,Unknown,Unknown,Unknown
Methidest,Methodist,Christianity,Protestant,Trinitarian,Connexional
Roman Catol,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cathlico,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Episcopilian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
P,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbiteranean,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catole,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of I Protestant,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
R Cathilock,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of England Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbyterian Church Ireland,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presberitian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Bapist Church,Baptist,Christianity,Protestant,Trinitarian,Congregational
Presbterin Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Calthoic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant of Church Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
R Casholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholic or Idoloter According to H M Edward VII,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roma Catholice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Episopalian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
R Cathelac,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Rationalist,Rationalist,Unknown,Unknown,Unknown,Unknown
United Presbeterian,United Presbyterian,Unknown,Unknown,Unknown,Unknown
P Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbyterains,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Rm Cathol,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Rome R C,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prespetian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
R Chatholic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Church of Scotland,Church of Scotland,Unknown,Unknown,Unknown,Unknown
Reformed Presbyn,Reformed Presbyterian,Unknown,Unknown,Unknown,Unknown
Primetive Methodist,Primitive Methodist,Unknown,Unknown,Unknown,Unknown
R Cacholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Ch of I Protestant,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
R Cathic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Methodist N Con,Methodist New Connexion,Unknown,Unknown,Unknown,Unknown
Ronman Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Congregationilot,Congregationalist,Unknown,Unknown,Unknown,Unknown
Roman Catholic Church Rome,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roaming Cathlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyterane,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Chalic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Ctholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catherlice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Irish Methodist Church,Methodist,Christianity,Protestant,Trinitarian,Connexional
Caterlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Rroman C,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Latter Day Saint Presbytarian,Mormon,Christianity,Restorationist,Nontrinitarian,Hierarchical
Catholice Ch,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catlicke,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbertyian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman R Catholic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholcks,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbitarin,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbyterain C,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prespeterian Ch,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catheck,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cathorlic Riligon,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cavenanter,Reformed Presbyterian,Unknown,Unknown,Unknown,Unknown
Irish Episcopil Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Pescopalian Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Meslleyans,Wesleyan Methodist,Unknown,Unknown,Unknown,Unknown
Presbyterien Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Cathorlice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholick Ch,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catcholic Relig,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
St Catherines Roman C,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cahelics,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Swedenborgian,Swedenborgian,Unknown,Unknown,Unknown,Unknown
Rom Catcholick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Ireland E C,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbyterian Unitarian,Unitarian,Christianity,Liberal,Nontrinitarian,Congregational
Roman Cathlos,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
All Members of R Catholic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Parish Priest,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catiolec,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Episcopal Ch of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Weslyn,Wesleyan Methodist,Unknown,Unknown,Unknown,Unknown
Member of the Roman Catholic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathorck,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathik,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholicis,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Episcoplain,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Cathr,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Ireland English Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbytreain,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Phiscopelian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Atheist,Atheist,Unknown,Unknown,Unknown,Unknown
Cathelick Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Moravian,Moravian,Unknown,Unknown,Unknown,Unknown
Church of R,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presberin,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Chirch of Rome,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Romon Catholic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
P C of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman religions Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presypterian Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
R Cathoile,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Medotist,Methodist,Christianity,Protestant,Trinitarian,Connexional
Methoist,Methodist,Christianity,Protestant,Trinitarian,Connexional
Protestant C of England,Church of England,Unknown,Unknown,Unknown,Unknown
Prespertian Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Meeting House of Brethren,Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
Bretheron,Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
All Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
R Catholict,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Rom Catolics,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Congregalist,Congregationalist,Unknown,Unknown,Unknown,Unknown
Protestant Episcoplain,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Prespesterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Episcopalian Church Protestant,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Methodust,Methodist,Christianity,Protestant,Trinitarian,Connexional
Rom Cathloic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R and Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Romon Cath,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of England and Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Cath?ic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Epescopalion,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
The Curch of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Chatloic R,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Christian Breathren,Christian Brethren,Unknown,Unknown,Unknown,Unknown
Catchalic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
English Chur,Church of England,Unknown,Unknown,Unknown,Unknown
Estd Church of Scotland,Church of Scotland,Unknown,Unknown,Unknown,Unknown
Protestant Pispelian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Prespepterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Catholice C,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Religon Roman Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
The Old Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Church of Ireland Epescopelian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catholick C,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Episcopelean,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Episcopialian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catholig,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cuch Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Non Subscribing Presbyterian Unitarian,Unitarian,Christianity,Liberal,Nontrinitarian,Congregational
Congretional Church,Congregationalist,Unknown,Unknown,Unknown,Unknown
Roman Catholiocs,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Methodiest Church,Methodist,Christianity,Protestant,Trinitarian,Connexional
First Presbyterian Church Larne,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Luthern Protestant Episcopal,Lutheran,Christianity,Protestant,Trinitarian,Episcopal
Prespitarian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Indepents,Independent,Unknown,Unknown,Unknown,Unknown
Catholic Churc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Pryspetrian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Episcopalian Church of England,Church of England,Unknown,Unknown,Unknown,Unknown
Rathmines,ERROR,Unknown,Unknown,Unknown,Unknown
Church of Engla,Church of England,Unknown,Unknown,Unknown,Unknown
Protestant Church of Christ,Church of Christ,Unknown,Unknown,Unknown,Unknown
Presbertarion,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Ca Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant belonging to no church,Protestant belonging to no church,Unknown,Unknown,Unknown,Unknown
Church Indepent,Independent,Unknown,Unknown,Unknown,Unknown
A Catholice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Ireland and England,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Unitarian Ch,Unitarian,Christianity,Liberal,Nontrinitarian,Congregational
Prispiterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Cathorick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roaman C,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyterian E U,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Callolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholic Faith,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
St Mary Church,St Mary Church,Unknown,Unknown,Unknown,Unknown
Church Iriland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Methodist New Conexion,Methodist New Connexion,Unknown,Unknown,Unknown,Unknown
Roman Catholate,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prespertrian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Reformed Prisbeterian,Reformed Presbyterian,Unknown,Unknown,Unknown,Unknown
Episcoplean,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Curch off Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Catholic Curate,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prespytarion,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catholice Religion,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cat Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catohlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Reformed Prespeterian,Reformed Presbyterian,Unknown,Unknown,Unknown,Unknown
Evangelical Church of Ireland,Evangelical,Unknown,Unknown,Unknown,Unknown
Episcopalian Protestant Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
R Catholist,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Chtholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathorlik,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prsbytrian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prespatarian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
C Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Prespretian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Cathlicks,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Church Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Rome Catholic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Christian's,Christian Scientist,Christianity,Restorationist,Nontrinitarian,Congregational
Roman Fatholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Episcipal,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Epescipal Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Cotholick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
First Presbyterian Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
General Assembly,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prespiterion,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Church of Roman,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
JMCD Merrion Hall Brethern,Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
Protestant Irish Ch,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Religion Roman Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Pro Cathedral,Pro Cathedral,Unknown,Unknown,Unknown,Unknown
Protestant Irish,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Salvationarmy,Salvationist,Unknown,Unknown,Unknown,Unknown
R Caothlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Membrs of the Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Cathoerlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Ieland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Epescopelian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Baptist Adhernt,Baptist,Christianity,Protestant,Trinitarian,Congregational
Roman Catho?,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Chatlico,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholic Catholic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
English Protestant Church,Church of England,Unknown,Unknown,Unknown,Unknown
R Catohlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Irish Church St Marks,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Episcpalian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Cathholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prisbytarian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Rm Catlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Ireland Prot,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catherical,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathoilc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presybterian Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catholaic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
I C Kivins,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Wesleys,Wesleyan Methodist,Unknown,Unknown,Unknown,Unknown
Roman Cathliok,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Rom Cathl,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
C Riligion,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catchols,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholic Rome,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Member of Roman Catholic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cathorlic R,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Chatlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catrlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Wesleyian,Wesleyan Methodist,Unknown,Unknown,Unknown,Unknown
Roman Chaolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Lutherian Church,Lutheran,Christianity,Protestant,Trinitarian,Episcopal
Episcopal Church Irish Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Epescopelian Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Cha,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathilice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prysbeterean,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
E U Church,E U Church,Unknown,Unknown,Unknown,Unknown
Roman Cathoilick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Unsectariam,Non-denominational Christian,Unknown,Unknown,Unknown,Unknown
R Catholic Priest,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Chatholice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathloic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prostestant Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Irish Episcopal Ch,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Catherloic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Epispalian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
R Catholick Ch,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prespyterran,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catheli,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathelioc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catherolic Ch,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catrolick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catthlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathelic Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholick Religon,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Episcopalian Potestant,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
I Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbsterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Medothest,Methodist,Christianity,Protestant,Trinitarian,Connexional
R Cathoc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholic R Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catolics,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Epescopilion,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Catecholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Salvationst,Salvationist,Unknown,Unknown,Unknown,Unknown
