Africa
Alderney,Channel Islands
America,United States
America U S,United States
Argentina
Argentine Republic,Argentina
At Sea
Australia
Austria
Belgium
Bermuda,West Indies
Born In America,United States
Brazil
British Columbia,Canada
British Guiana,West Indies
Burma
Canada
Cape Colony,South Africa
Cape Of Good Hope,South Africa
Capetown,South Africa
Ceylon
Channel Islands
China
Cyprus
Denmark
East India,India
Egypt
England
Finland
France
Germany
Gibraltar
Greece
Guernsey,Channel Islands
Holland
Hong Kong
I Of Man,Isle Of Man
In Ireland,Ireland
In America,United States
In France,France
In Italy,Italy
In Russia,Russia
In Scotland,Scotland
India
Ireland
Island Of Jersey,Channel Islands
Isle Of Man
Isle Of Wight,England
Italy
Jamaica,West Indies
Japan
Jersey,Channel Islands
Madagascar
Malta
Mauritius
Mexico
N America,United States
N Wales,Wales
New South Wales,Australia
New Zealand
Newfoundland,Canada
North America
North Wales,Wales
Norway
Nova Scotia,Canada
Orkney,Scotland
Poland
Prussia
Russia
S America,South America
S Wales,Wales
Scilly Island,England
Scotland
Sea,At Sea
Singapore,Straits Settlements
South Africa
South Wales,Wales
Spain
St Helena
Straits Settlements
Sweden
Switzerland
Tasmania,Australia
Transvaal,South Africa
Trinidad,West Indies
U S A,United States
U S America,United States
U S Of America,United States
United States
United States Of America,United States
Wales
West Australia,Australia
West India,India
West Indies
