name,gender,NI_AppRank
BRADY,M,rare
BRAEDEN,M,rare
BRANDAN,M,rare
BRANDON,M,basic
BRANNAGH,F,rare
BRAXTON,M,rare
BRAYDEN,M,rare
BREA,F,rare
BREANDAN,M,uncommon
BREANNA,F,uncommon
BRENDA,F,rare
BRENDAN,M,basic
BRENNA,F,uncommon
BRENT,M,rare
BRETT,M,uncommon
BRIAN,M,basic
BRIANNA,F,basic
BRIANNE,F,rare
BRID,F,rare
BRIDGET,F,uncommon
BRIDIN,F,rare
BRIEGE,F,rare
BRIGID,F,uncommon
BRITNEY,F,rare
BRITTANY,F,rare
BRITTNEY,F,rare
BRODIE,M,common
BRODY,M,common
BROGAN,M,common
BROGAN,F,common
BROGHAN,F,rare
BRONA,F,uncommon
BRONACH,F,rare
BRONAGH,F,basic
BRONWEN,F,rare
BRONWYN,F,rare
BROOKE,F,basic
BROOKLYN,M,basic
BROOKLYN,F,common
BROOKLYNN,F,rare
BRUCE,M,rare
BRUNO,M,rare
BRYAN,M,common
BRYCE,M,rare
BRYN,M,uncommon
BRYONY,F,rare
BRYSON,M,rare
BYRON,M,rare
CABHAN,M,rare
CADAIN,M,rare
CADAN,M,rare
CADEN,M,common
CADHAN,M,rare
CADHLA,F,common
CAEDAN,M,rare
CAEL,M,rare
CAELA,F,rare
CAELAINN,F,rare
CAELAN,M,basic
CAELUM,M,rare
CAHAL,M,uncommon
CAHAN,M,rare
CAHIR,M,basic
CAI,M,uncommon
CAIDAN,M,uncommon
CAIDEN,M,common
CAIDIN,M,rare
CAILA,F,rare
CAILEAN,M,uncommon
CAILEIGH,F,rare
CAILIN,F,uncommon
CAILUM,M,uncommon
CAILYN,F,rare
CAIN,M,basic
CAIOMHE,F,rare
CAISLIN,F,rare
CAIT,F,common
CAITHLIN,F,uncommon
CAITI,F,rare
CAITILIN,F,rare
CAITLAIN,F,rare
CAITLIN,F,basic
CAITLYN,F,basic
CAITRIONA,F,common
CAL,M,common
CALEB,M,basic
CALEIGH,F,rare
CALI,F,rare
CALLAN,M,common
CALLEIGH,F,rare
CALLIE,F,uncommon
CALLUM,M,basic
CALUM,M,basic
CALVIN,M,basic
CAMERON,M,basic
CAMERON,F,rare
CAMPBELL,M,rare
