name,gender,NI_appFrac,NI_avgVal,SC_appFrac,SC_avgVal,EW_appFrac,EW_avgVal,UK_appFrac,UK_avgVal
IRFAAN,M,0.0,0.0,0.167,1.0,0.5,4.2,0.222,1.733
IRFAN,M,0.0,0.0,0.595,1.68,0.633,18.89,0.409,6.857
IRFANA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRFANUL,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRHA,F,0.0,0.0,0.048,1.5,0.167,6.2,0.072,2.567
IRHAA,F,0.0,0.0,0.024,1.0,0.033,12.0,0.019,4.333
IRHAAN,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRHUM,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRIA,F,0.0,0.0,0.048,1.0,0.0,0.0,0.016,0.333
IRIAH,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRIE,F,0.0,0.0,0.0,0.0,0.133,3.25,0.044,1.083
IRIM,F,0.0,0.0,0.095,1.0,0.033,3.0,0.043,1.333
IRINA,F,0.0,0.0,0.143,1.0,0.5,8.33,0.214,3.11
IRINI,F,0.0,0.0,0.048,1.0,0.067,3.0,0.038,1.333
IRINIS,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRIS,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRIS,F,0.105,4.5,0.643,8.7,0.833,206.2,0.527,73.133
IRISA,F,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
IRISSA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRM,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRMA,F,0.0,0.0,0.143,1.0,0.1,3.33,0.081,1.443
IRMAK,F,0.0,0.0,0.048,1.0,0.333,8.4,0.127,3.133
IRMAN,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRMANI,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRME,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRMEET,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRMIYA,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRNA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IROHA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRONA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRPHAN,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRRALEE,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRRALIE,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRRAM,F,0.0,0.0,0.071,1.0,0.233,4.0,0.101,1.667
IRRUJ,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRRUM,F,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
IRSA,F,0.0,0.0,0.048,1.5,0.267,7.62,0.105,3.04
IRSAH,F,0.0,0.0,0.071,1.0,0.033,8.0,0.035,3.0
IRSAL,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRSALAIN,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRSHAAD,M,0.0,0.0,0.024,1.0,0.033,4.0,0.019,1.667
IRSHAHIDIN,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRSYAD,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRTAZA,M,0.0,0.0,0.071,1.0,0.067,4.5,0.046,1.833
IRTAZAH,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRTEZA,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRTIZA,M,0.0,0.0,0.024,1.0,0.1,3.0,0.041,1.333
IRUM,F,0.0,0.0,0.119,1.4,0.467,5.43,0.195,2.277
IRUNDEEP,F,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
IRVA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRVENA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRVIN,M,0.0,0.0,0.429,1.33,0.167,3.0,0.199,1.443
IRVINE,M,0.0,0.0,0.857,2.0,0.033,3.0,0.297,1.667
IRVINE,F,0.0,0.0,0.024,3.0,0.0,0.0,0.008,1.0
IRVING,M,0.0,0.0,0.238,1.4,0.1,3.33,0.113,1.577
IRVYN,M,0.0,0.0,0.048,1.0,0.0,0.0,0.016,0.333
IRWA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRWIN,M,0.0,0.0,0.143,1.17,0.033,3.0,0.059,1.39
IRYANA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
IRYS,F,0.0,0.0,0.024,1.0,0.067,3.0,0.03,1.333
IRZA,F,0.0,0.0,0.024,1.0,0.067,3.0,0.03,1.333
