name,gender,IRE1901_AppRank
A,F,basic
A,M,basic
AABLD,M,rare
AACHIE,M,rare
AAD,F,rare
AAGGIE,F,uncommon
AAGNES,F,uncommon
AAGNES,M,uncommon
AAGNIS,F,rare
AAHARN,F,rare
AAHRON,M,rare
AALAK,F,rare
AALAS,F,rare
AALBERT,M,rare
AALEX,M,rare
AALEXAND,M,rare
AALEXANDER,M,uncommon
AALICE,F,uncommon
AALIS,F,rare
AALLICE,F,uncommon
AALXANDER,M,rare
AAMEY,F,rare
AAMIE,F,rare
AAN,F,uncommon
AANABELLA,F,rare
AANASTASIA,F,uncommon
AANASTAST,F,rare
AANASTATIA,F,uncommon
AANASTICA,F,rare
AANDREW,M,rare
AANE,F,uncommon
AANES,F,uncommon
AANESS,F,rare
AANETTA,F,rare
AANIE,F,common
AANIEY,F,rare
AANIY,F,rare
AANN,F,basic
AANNA,F,uncommon
AANNE,F,common
AANNEE,F,rare
AANNIE,M,rare
AANNIE,F,basic
AANT,F,rare
AANTHONY,M,rare
AARABELLA,F,uncommon
AARAN,M,rare
AARIA,F,rare
AARIANA,F,rare
AARIN,M,rare
AARON,M,basic
AAROW,M,rare
AARTHER,M,uncommon
AARTHOUR,M,rare
AARTHUR,M,rare
AASKAR,M,rare
AATHUR,M,rare
AAUASTIA,F,rare
AAUSTIN,M,rare
AAVALD,M,rare
AB,M,rare
ABADIAH,M,rare
ABAGAIL,F,common
ABAGILL,F,rare
ABAIAGH,M,rare
ABAN,M,rare
ABARAHAM,M,rare
ABARHAM,M,rare
ABARM,M,rare
ABBAGAIL,F,rare
ABBAN,M,uncommon
ABBE,F,basic
ABBEGIAL,F,rare
ABBERT,M,uncommon
ABBEY,M,uncommon
ABBEY,F,basic
ABBEYGALE,F,rare
ABBGAIL,F,rare
ABBI,F,rare
ABBICOL,F,rare
ABBIE,F,basic
ABBIE,M,uncommon
ABBIGAIL,F,uncommon
ABBIGAL,F,uncommon
ABBIGALE,F,rare
ABBIN,F,rare
ABBIN,M,uncommon
ABBINA,F,basic
ABBINE,F,rare
ABBINEY,F,rare
ABBINTINO,F,rare
ABBIS,F,rare
ABBITRESS,F,rare
ABBOTT,M,rare
ABBS,F,rare
ABBY,F,basic
ABBYGAIL,F,uncommon
ABBYGAL,F,rare
ABDUL,M,rare
ABE,M,rare
ABE,F,rare
ABEANON,M,rare
ABEE,F,rare
ABEETTE,F,rare
ABEGAIL,F,basic
ABEGAL,F,uncommon
ABEGIAL,F,uncommon
ABEGIEL,F,uncommon
ABEGILL,F,rare
ABEJAL,F,rare
ABEL,M,basic
ABELIA,F,uncommon
ABELIE,F,rare
ABELINA,F,uncommon
ABENNIA,F,rare
ABERAHAM,M,rare
ABERGAH,F,rare
ABERGAIL,F,rare
ABERINA,F,uncommon
ABERN,M,rare
ABERNETHY,F,rare
ABERR,M,rare
ABERT,M,uncommon
ABERVENIA,F,rare
ABET,M,rare
ABEY,M,common
ABEY,F,uncommon
ABEYGAIL,F,rare
ABGAIL,F,uncommon
ABGIAL,F,rare
ABIAGAL,F,rare
ABIAN,M,rare
ABIANDER,M,rare
ABICON,F,rare
ABIE,F,rare
ABIGAEL,F,common
ABIGAIL,F,basic
ABIGAILE,F,rare
ABIGAL,F,basic
ABIGALE,F,uncommon
ABIGEAL,F,rare
ABIGELE,F,rare
ABIGIAL,F,basic
ABIGIEL,F,uncommon
ABIGIL,F,uncommon
ABIGILL,F,uncommon
ABIJAN,M,rare
ABILGALE,F,rare
ABILIA,F,rare
ABIN,M,rare
ABINA,F,basic
ABINAH,F,common
ABINE,F,uncommon
ABINEA,F,uncommon
ABINGALE,M,rare
ABINIA,F,common
ABINIE,F,rare
ABINNEY,F,rare
ABINOR,F,rare
ABIQUAL,F,rare
ABIRAM,M,rare
ABIRTHEW,F,rare
ABLE,M,uncommon
ABLERT,M,rare
ABLEY,F,rare
ABLICKEN,F,rare
ABNER,M,common
ABNER,F,rare
ABNIE,F,rare
ABOALOM,M,rare
ABONAY,F,rare
ABONIA,F,uncommon
ABRA,M,rare
ABRAHAM,M,basic
ABRAHAN,M,common
ABRAHM,M,rare
ABRAM,M,basic
ABRAMHAN,M,rare
ABRAMINA,F,rare
ABRAN,M,rare
ABREHAM,M,uncommon
ABRET,M,rare
ABRHAM,M,rare
ABRIGAIL,F,rare
ABRILLIA,F,rare
ABRIM,M,rare
ABSAIOM,M,rare
ABSALOM,M,basic
ABSOLAM,M,rare
ABSOLEM,M,rare
ABSOLM,M,rare
ABSOLON,M,rare
ABSOLUM,M,rare
ABY,M,uncommon
ABY,F,common
ABYAL,F,rare
ABYGAIL,F,rare
ABYGAL,F,rare
ABYNA,F,uncommon
AC,M,rare
ACCIE,F,rare
ACELIA,F,rare
ACEY,F,uncommon
ACH,M,rare
ACHABALD,M,rare
ACHESON,M,basic
ACHESON,F,rare
ACHEY,M,rare
ACHIE,M,uncommon
ACHILES,M,rare
ACHILLES,M,common
ACHISON,M,rare
ACHY,M,uncommon
ACKIE,M,rare
ACUSHLA,F,rare
AD,M,uncommon
ADA,F,basic
ADA,M,rare
ADAAMAN,F,rare
ADAH,F,uncommon
ADAIR,M,uncommon
ADALADE,F,uncommon
ADALAID,F,uncommon
ADALAIDE,F,basic
ADALBERT,M,uncommon
ADALE,F,uncommon
ADALEADE,F,rare
ADALEEN,F,rare
ADALEINE,F,rare
ADALENA,F,uncommon
ADALENE,F,rare
ADALIADE,F,uncommon
ADALIDE,F,uncommon
ADALINA,F,uncommon
ADALINE,F,common
ADALINE,M,rare
ADAM,M,basic
ADAM,F,common
ADAMINA,F,uncommon
ADAMNAN,M,rare
ADAMS,F,uncommon
ADAMS,M,common
ADAMSON,M,rare
ADAN,M,rare
ADAN,F,uncommon
ADAROSE,F,rare
ADCLAIDE,F,rare
ADDA,F,uncommon
ADDALINE,F,rare
ADDAM,M,rare
ADDAME,M,rare
ADDELADE,F,rare
ADDELAID,F,rare
ADDELINE,F,rare
ADDEY,F,rare
ADDIALIADE,F,rare
ADDIE,M,uncommon
ADDIE,F,basic
ADDIELAIDE,F,rare
ADDISON,M,uncommon
ADDLADE,F,rare
ADDLE,F,rare
ADDLEAD,F,rare
ADDLEIDE,F,rare
ADDO,F,rare
ADDY,F,rare
ADDY,M,rare
ADE,F,common
ADEELINE,F,uncommon
ADEILADE,F,rare
ADELA,F,basic
ADELADE,F,basic
ADELAID,F,basic
ADELAIDA,F,uncommon
ADELAIDE,M,rare
ADELAIDE,F,basic
ADELAIDS,F,rare
ADELAINE,F,uncommon
ADELE,F,basic
ADELEAAIDE,F,rare
ADELEADE,F,uncommon
ADELENA,F,uncommon
ADELENE,F,uncommon
ADELIA,F,uncommon
ADELIAD,F,uncommon
ADELIADE,F,common
ADELIAN,F,rare
ADELIATE,F,rare
ADELICE,F,rare
ADELIDE,F,uncommon
ADELIDEA,F,rare
ADELIEIDE,F,rare
ADELINA,F,common
ADELINE,F,basic
ADELIZA,F,rare
ADELL,F,rare
ADELLA,F,uncommon
ADEN,M,uncommon
ADENA,F,rare
ADESSA,F,common
ADESSIA,F,rare
ADETS,F,rare
ADGNESS,F,rare
ADIA,F,rare
ADIAN,M,uncommon
ADICE,F,rare
ADIE,F,rare
ADIEN,M,rare
ADILAIDE,F,uncommon
ADILE,F,common
ADILEEN,F,rare
ADILIADE,F,rare
