name,gender,CN_AppRank,IRE1901_AppRank,IRE1911_AppRank,EW_AppRank,SC_AppRank,NI_AppRank,UK_AppRank,USA_AppRank,isBCenter,isBWizard,isBNames,origin,Total_AppRank
AANIYAH,F,unused,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AANNA,F,unused,uncommon,uncommon,unused,unused,unused,unused,unused,1.0,0.0,0.0,,rare
AANVI,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AANYA,F,common,unused,unused,common,rare,unused,rare,rare,1.0,1.0,0.0,,rare
AAQIB,M,rare,unused,unused,common,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAQIL,M,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AARADHYA,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AARAIZ,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AARALYN,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,1.0,0.0,,rare
AARAN,M,uncommon,rare,rare,common,common,unused,uncommon,rare,1.0,0.0,0.0,,uncommon
AARAV,M,common,unused,unused,uncommon,rare,unused,rare,rare,1.0,1.0,0.0,,rare
AAREN,M,rare,unused,unused,rare,rare,unused,rare,uncommon,1.0,0.0,0.0,,rare
AAREZ,M,rare,unused,unused,rare,rare,unused,rare,unused,1.0,0.0,0.0,,rare
AARIA,F,rare,rare,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AARIAH,F,unused,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AARIAN,M,unused,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AARIANA,F,rare,rare,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AARIB,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AARIFAH,F,unused,unused,unused,common,rare,unused,rare,unused,1.0,0.0,0.0,,rare
AARIKA,F,rare,unused,unused,rare,rare,unused,rare,uncommon,1.0,0.0,0.0,Indian,rare
AARIN,M,rare,rare,unused,rare,rare,unused,rare,uncommon,1.0,0.0,0.0,,rare
AARINI,F,unused,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,Indian,rare
AARIV,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AARIYAN,M,rare,unused,unused,uncommon,unused,unused,rare,rare,1.0,0.0,0.0,,rare
AARIZ,M,uncommon,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,Arabic,rare
AARNA,F,uncommon,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,Indian,rare
AARNAV,M,uncommon,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAROHI,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AARON,M,basic,basic,basic,common,basic,basic,basic,basic,1.0,1.0,1.0,Jewish,basic
AARON,F,uncommon,unused,unused,unused,uncommon,unused,rare,common,1.0,0.0,0.0,,rare
AARRON,M,rare,unused,common,common,common,unused,uncommon,uncommon,1.0,0.0,0.0,,uncommon
AARTHI,F,unused,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AARTI,F,uncommon,unused,unused,uncommon,rare,unused,rare,uncommon,1.0,1.0,0.0,Indian,rare
AARUN,M,unused,unused,unused,uncommon,rare,unused,rare,unused,1.0,0.0,0.0,,rare
AARUSH,M,uncommon,unused,unused,uncommon,rare,unused,rare,rare,1.0,1.0,0.0,,rare
AARUSHI,F,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,Indian,rare
AARVI,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AARYA,M,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AARYA,F,uncommon,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AARYAN,M,common,unused,unused,common,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AARYANA,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AARYANNA,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,1.0,0.0,,rare
AARYN,M,rare,unused,unused,rare,uncommon,unused,rare,uncommon,1.0,0.0,0.0,,rare
AARYN,F,rare,unused,unused,unused,rare,unused,unused,uncommon,1.0,0.0,0.0,,rare
AASHA,F,rare,unused,unused,uncommon,unused,unused,rare,rare,1.0,0.0,0.0,,rare
AASHI,F,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,Indian,rare
AASHIR,M,uncommon,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AASHISH,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AASHMAN,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,Indian,rare
AASHNA,F,uncommon,unused,unused,uncommon,rare,unused,rare,rare,1.0,1.0,0.0,,rare
AASHNI,F,unused,unused,unused,uncommon,unused,unused,rare,rare,1.0,0.0,0.0,Indian,rare
AASHVI,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AASIA,F,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AASIM,M,rare,unused,unused,common,rare,unused,rare,rare,1.0,0.0,0.0,Arabic,rare
AASIYA,F,rare,unused,unused,common,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AASIYAH,F,rare,unused,unused,common,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AASTHA,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,Indian,rare
AATIF,M,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AATIKAH,F,rare,unused,unused,common,rare,unused,rare,unused,1.0,0.0,0.0,,rare
AAVA,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,1.0,Finnish,rare
AAYA,F,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAYAAN,M,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAYAH,F,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,1.0,0.0,,rare
AAYAN,M,common,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAYDEN,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,1.0,0.0,,rare
AAYLA,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAYUSH,M,uncommon,unused,unused,common,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAYUSHI,F,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,1.0,0.0,,rare
ABAAN,M,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABAGAEL,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABAGAIL,F,uncommon,common,basic,rare,rare,unused,rare,uncommon,1.0,1.0,0.0,Jewish,uncommon
ABAIGEAL,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABAN,M,rare,rare,unused,rare,unused,unused,unused,rare,1.0,0.0,0.0,Arabic,rare
ABANOUB,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,1.0,0.0,,rare
ABASS,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABBAAS,M,unused,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABBAN,M,unused,uncommon,uncommon,unused,unused,unused,unused,unused,1.0,0.0,0.0,,rare
ABBAS,M,uncommon,unused,unused,common,common,unused,uncommon,uncommon,0.0,0.0,1.0,Arabic,uncommon
ABBE,F,rare,basic,uncommon,rare,rare,unused,rare,uncommon,1.0,0.0,0.0,,uncommon
ABBEY,M,rare,uncommon,unused,unused,rare,unused,unused,rare,1.0,0.0,0.0,,rare
ABBEY,F,common,basic,basic,common,basic,basic,basic,common,1.0,1.0,1.0,Jewish,basic
ABBEYGALE,F,rare,rare,rare,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABBI,F,rare,rare,unused,common,common,common,common,uncommon,1.0,0.0,1.0,English,uncommon
ABBIE,F,common,basic,basic,common,basic,basic,basic,basic,1.0,1.0,1.0,Jewish,basic
ABBIE,M,unused,uncommon,rare,unused,rare,unused,unused,uncommon,1.0,0.0,0.0,,rare
ABBIEGAIL,F,rare,unused,unused,common,uncommon,unused,uncommon,rare,1.0,0.0,0.0,,rare
ABBIEGAYLE,F,rare,unused,unused,rare,rare,unused,rare,rare,0.0,1.0,0.0,,rare
ABBIGAIL,F,common,uncommon,common,common,common,unused,uncommon,uncommon,1.0,1.0,0.0,,uncommon
ABBIGAL,F,unused,uncommon,common,unused,unused,unused,unused,rare,1.0,0.0,0.0,,rare
ABBIGALE,F,uncommon,rare,unused,uncommon,rare,unused,rare,rare,1.0,1.0,0.0,,rare
ABBIGAYLE,F,uncommon,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABBOTT,M,rare,rare,uncommon,unused,unused,unused,unused,common,1.0,1.0,0.0,Jewish,rare
ABBY,F,basic,basic,basic,common,basic,basic,basic,basic,1.0,1.0,1.0,Jewish,basic
ABBY,M,rare,unused,common,unused,unused,unused,unused,rare,1.0,0.0,0.0,,rare
ABBYGAIL,F,uncommon,uncommon,unused,common,rare,unused,rare,rare,1.0,1.0,0.0,,rare
ABBYGALE,F,uncommon,unused,uncommon,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABBYGAYLE,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABD,M,rare,unused,unused,common,uncommon,unused,uncommon,rare,1.0,0.0,0.0,,rare
ABDALLA,M,rare,unused,unused,common,rare,unused,rare,rare,1.0,0.0,0.0,Arabic,rare
ABDALLAH,M,uncommon,unused,unused,common,uncommon,rare,uncommon,uncommon,1.0,1.0,0.0,Arabic,uncommon
ABDALRAHMAN,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDEL,M,rare,unused,unused,common,uncommon,unused,uncommon,uncommon,1.0,0.0,0.0,,rare
ABDELAZIZ,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDELKARIM,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDELRAHMAN,M,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDI,M,uncommon,unused,unused,common,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDIAZIZ,M,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDIFATAH,M,uncommon,unused,unused,uncommon,unused,unused,rare,rare,1.0,0.0,0.0,,rare
ABDIHAKIM,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDIKARIM,M,rare,unused,unused,uncommon,unused,unused,rare,rare,1.0,0.0,0.0,,rare
ABDIMALIK,M,rare,unused,unused,common,unused,unused,rare,rare,1.0,0.0,0.0,,rare
ABDINASIR,M,rare,unused,unused,uncommon,unused,unused,rare,rare,1.0,0.0,0.0,,rare
ABDIRAHIM,M,unused,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDIRAHMAN,M,uncommon,unused,unused,common,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDIRASHID,M,unused,unused,unused,uncommon,unused,unused,rare,rare,1.0,0.0,0.0,,rare
ABDIRIZAK,M,rare,unused,unused,uncommon,unused,unused,rare,rare,1.0,0.0,0.0,,rare
ABDISALAM,M,unused,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDISHAKUR,M,unused,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDOU,M,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDOUL,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDOULIE,M,unused,unused,unused,common,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDU,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDUALLAH,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDUL,M,common,rare,unused,common,basic,rare,common,common,1.0,1.0,1.0,Arabic,uncommon
ABDULA,M,unused,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULAH,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,1.0,Slavic,rare
ABDULAHI,M,uncommon,unused,unused,common,unused,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULAZEEZ,M,unused,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULAZIZ,M,uncommon,unused,unused,common,uncommon,unused,uncommon,uncommon,1.0,0.0,0.0,,rare
ABDULHADI,M,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULHAKEEM,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULHAMEED,M,unused,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULHAMID,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULKADER,M,rare,unused,unused,rare,rare,unused,rare,unused,1.0,0.0,0.0,,rare
ABDULKADIR,M,uncommon,unused,unused,common,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULKAREEM,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULKARIM,M,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULLA,M,rare,unused,unused,common,uncommon,unused,uncommon,uncommon,1.0,0.0,0.0,,rare
ABDULLAAH,M,rare,unused,unused,uncommon,unused,unused,rare,unused,1.0,0.0,0.0,,rare
ABDULLAH,M,common,unused,unused,common,common,rare,uncommon,uncommon,1.0,1.0,1.0,Arabic,uncommon
ABDULLAHI,M,uncommon,unused,unused,common,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULMAJEED,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULMAJID,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULMALEK,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULMALIK,M,rare,unused,unused,common,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULRAHEEM,M,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULRAHIM,M,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULRAHMAN,M,uncommon,unused,unused,common,common,unused,uncommon,uncommon,1.0,1.0,0.0,,uncommon
ABDULREHMAN,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULSALAM,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDULWAHAB,M,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
ABDUR,M,uncommon,unused,unused,common,uncommon,unused,uncommon,rare,1.0,0.0,0.0,,rare
ABDURAHMAN,M,uncommon,unused,unused,common,rare,unused,rare,rare,1.0,0.0,0.0,,rare
