name,gender,AB_appFrac,AB_avgVal,BC_appFrac,BC_avgVal,OT_appFrac,OT_avgVal,CN_appFrac,CN_avgVal
DENAH,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENAI,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENAI,F,0.385,1.1,0.0,0.0,0.0,0.0,0.128,0.367
DENAIHA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENAISHA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENAIT,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENAL,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENALI,F,0.308,1.0,0.0,0.0,0.0,0.0,0.103,0.333
DENALI,M,0.115,1.0,0.0,0.0,0.0,0.0,0.038,0.333
DENALLIE,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENAM,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENANH,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENASIA,F,0.115,1.0,0.0,0.0,0.0,0.0,0.038,0.333
DENATO,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENAY,F,0.269,1.14,0.0,0.0,0.0,0.0,0.09,0.38
DENAYA,F,0.192,1.2,0.0,0.0,0.0,0.0,0.064,0.4
DENAYAH,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENAYE,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DENAYSHA,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DENAÉ,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENBY,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENBY,M,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DENCEL,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DENE,M,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DENEA,F,0.115,1.0,0.0,0.0,0.0,0.0,0.038,0.333
