name,gender,AB_avgVal,BC_avgVal,OT_avgVal,CN_avgVal,NI_avgVal,SC_avgVal,EW_avgVal,UK_avgVal,13_avgVal,BS_avgVal,FS_avgVal,PC_avgVal,TE_avgVal,USA_avgVal,VR_avgVal
AADAM,M,1.2,0.0,5.0,2.067,0.0,1.96,73.58,25.18,0.0,0.0,0.0,0.0,0.0,9.08,0.0
AADEN,M,3.6,11.0,10.0,8.2,0.0,1.33,4.0,1.777,11.72,12.2,8.32,19.03,17.17,280.87,0.0
AADI,M,2.17,0.0,10.0,4.057,0.0,1.0,12.64,4.547,6.36,7.17,0.0,8.92,7.67,54.62,0.0
AADYA,F,1.5,0.0,6.0,2.5,0.0,1.5,11.89,4.463,7.1,6.55,5.0,9.87,10.0,55.15,0.0
AAHIL,M,3.0,0.0,8.0,3.667,0.0,2.43,36.64,13.023,7.73,0.0,0.0,7.25,8.25,25.44,0.0
AALIYA,F,1.82,0.0,7.0,2.94,0.0,1.0,25.55,8.85,5.52,5.0,6.0,6.13,6.98,46.74,0.0
AALIYAH,F,20.05,20.75,6.0,15.6,9.0,13.72,363.75,128.823,60.98,54.84,32.64,88.37,100.14,1867.75,6.44
AAMINA,F,1.0,0.0,5.0,2.0,0.0,1.67,48.5,16.723,0.0,5.0,0.0,5.0,5.0,11.64,0.0
AAMINAH,F,2.0,0.0,5.0,2.333,0.0,1.79,76.15,25.98,0.0,7.0,0.0,5.0,0.0,13.12,0.0
AAMIR,M,1.2,0.0,7.0,2.733,0.0,1.4,27.26,9.553,6.69,6.04,0.0,7.55,7.92,40.31,0.0
AANYA,F,2.64,6.0,6.0,4.88,0.0,2.0,30.71,10.903,9.86,7.49,5.25,14.17,10.24,120.89,0.0
AARALYN,F,1.67,0.0,0.0,0.557,0.0,1.0,3.0,1.333,6.77,6.0,5.5,13.3,7.76,84.23,0.0
AARAV,M,8.58,18.5,7.0,11.36,0.0,4.5,79.17,27.89,14.22,10.21,7.5,24.24,13.12,272.14,0.0
AARIZ,M,3.56,0.0,7.0,3.52,0.0,1.29,30.27,10.52,5.83,7.2,0.0,8.2,9.78,39.0,0.0
AARNA,F,2.5,0.0,7.0,3.167,0.0,2.25,16.33,6.193,7.64,7.58,5.0,12.41,8.33,88.82,0.0
AARON,M,84.37,104.58,7.0,65.317,138.0,174.07,1599.42,637.163,90.76,136.86,79.13,194.53,121.63,4123.85,20.88
AARUSH,M,2.5,5.0,7.0,4.833,0.0,1.71,25.64,9.117,8.48,7.22,0.0,15.6,10.5,121.0,0.0
AARYA,F,2.87,5.5,6.0,4.79,0.0,2.0,24.0,8.667,8.62,5.5,0.0,10.63,9.43,70.62,0.0
AARYAN,M,3.46,7.75,9.0,6.737,0.0,1.9,49.8,17.233,7.15,6.29,0.0,9.4,7.21,72.87,0.0
AAYAN,M,3.73,5.0,5.0,4.577,0.0,3.0,77.09,26.697,9.15,7.71,0.0,13.3,8.2,78.92,0.0
AAYUSH,M,1.8,0.0,5.0,2.267,0.0,1.0,12.88,4.627,5.85,5.75,0.0,10.29,6.04,54.53,0.0
ABAGAIL,F,2.25,0.0,8.0,3.417,0.0,1.0,4.2,1.733,7.43,8.58,5.92,6.92,8.28,109.5,0.0
ABBAS,M,2.77,0.0,6.0,2.923,0.0,1.73,45.21,15.647,5.83,8.17,5.0,6.8,6.14,27.17,0.0
ABBEY,F,8.2,9.07,5.0,7.423,5.29,16.83,138.2,53.44,9.89,14.75,8.3,10.02,11.45,213.95,0.0
ABBI,F,1.42,0.0,5.0,2.14,5.54,14.22,56.75,25.503,6.62,6.21,6.0,0.0,5.47,41.62,0.0
ABBIE,F,3.45,5.71,5.0,4.72,53.84,98.37,760.75,304.32,7.19,10.11,8.72,8.19,9.83,155.05,0.0
ABBIGAIL,F,6.65,7.0,5.0,6.217,0.0,2.28,27.55,9.943,9.6,12.74,8.09,12.4,14.05,216.88,0.0
ABBIGALE,F,2.19,0.0,5.0,2.397,0.0,1.0,5.1,2.033,5.43,5.9,5.0,5.64,6.12,64.47,0.0
ABBOTT,M,1.33,0.0,0.0,0.443,0.0,0.0,0.0,0.0,6.5,5.0,0.0,5.0,6.25,11.86,0.0
ABBY,F,20.81,16.48,5.0,14.097,13.61,40.87,223.65,92.71,16.78,32.94,14.08,16.09,28.34,431.81,5.17
ABBYGAIL,F,3.8,0.0,6.0,3.267,0.0,1.0,7.06,2.687,7.27,6.34,6.75,11.08,8.04,106.3,0.0
ABDIAS,M,1.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,6.2,16.22,0.0
ABDIEL,M,1.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,7.92,6.37,8.38,10.52,13.72,86.17,0.0
ABDIRAHMAN,M,3.08,0.0,5.0,2.693,0.0,1.5,55.68,19.06,5.0,21.86,5.75,7.63,5.33,64.45,0.0
ABDUL,M,5.48,7.0,6.0,6.16,4.0,7.49,274.63,95.373,8.6,6.89,0.0,8.28,5.74,71.93,0.0
ABDULLAH,M,8.08,6.5,9.0,7.86,4.0,7.09,243.47,84.853,9.45,8.71,7.1,10.52,8.5,111.25,0.0
ABDULLAHI,M,3.08,0.0,8.0,3.693,0.0,1.0,39.26,13.42,5.5,10.07,5.0,7.25,5.0,52.68,0.0
ABDULRAHMAN,M,2.33,0.0,8.0,3.443,0.0,1.46,40.11,13.857,6.32,6.41,0.0,7.5,6.5,50.61,0.0
ABE,M,1.78,0.0,5.0,2.26,0.0,1.0,6.59,2.53,8.86,6.88,5.0,6.35,6.07,66.28,0.0
ABEGAIL,F,1.27,0.0,0.0,0.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,5.5,15.93,0.0
ABEL,M,6.09,12.6,5.0,7.897,4.33,3.33,45.79,17.817,14.62,18.64,12.5,30.05,28.15,326.31,6.67
ABHINAV,M,1.78,0.0,7.0,2.927,0.0,1.75,10.56,4.103,6.57,6.42,0.0,11.11,7.11,64.8,0.0
ABI,F,1.17,0.0,0.0,0.39,13.31,20.44,73.25,35.667,0.0,0.0,0.0,5.0,5.5,12.51,0.0
ABIE,M,0.0,0.0,5.0,1.667,0.0,1.0,3.0,1.333,5.67,0.0,0.0,0.0,5.67,8.86,0.0
ABIEL,M,1.2,0.0,0.0,0.4,0.0,1.0,3.67,1.557,5.4,0.0,0.0,7.71,7.42,23.14,0.0
ABIGAIL,F,89.19,66.36,5.0,53.517,55.79,75.07,2001.9,710.92,108.88,142.54,74.55,129.43,136.73,2455.15,22.07
ABIGALE,F,2.67,5.0,7.0,4.89,0.0,1.44,15.37,5.603,7.07,7.55,6.52,8.12,8.33,110.83,0.0
ABIGAYLE,F,4.0,7.5,7.0,6.167,0.0,2.62,14.89,5.837,7.28,8.62,6.67,8.29,9.17,136.69,0.0
ABILENE,F,1.2,0.0,0.0,0.4,0.0,0.0,3.0,1.0,5.0,0.0,5.0,7.5,6.2,29.37,0.0
ABIMAEL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,5.0,8.32,5.94,22.96,0.0
ABIRA,F,1.0,0.0,5.0,2.0,0.0,1.0,4.33,1.777,0.0,0.0,0.0,0.0,0.0,5.0,0.0
ABISAI,M,1.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,5.0,5.0,5.0,8.04,6.83,27.34,0.0
ABNER,M,1.17,0.0,5.0,2.057,0.0,1.0,4.75,1.917,6.76,5.52,5.87,13.05,6.65,53.19,0.0
ABRAHAM,M,5.84,6.38,25.0,12.407,3.0,1.67,58.26,20.977,20.17,13.99,15.62,41.09,20.79,615.57,5.0
ABRAM,M,4.2,0.0,7.0,3.733,0.0,1.0,4.56,1.853,8.09,11.29,9.24,13.52,12.1,108.67,0.0
ABRIANA,F,1.25,0.0,0.0,0.417,0.0,0.0,0.0,0.0,5.44,5.84,5.94,6.79,8.06,82.04,0.0
ABRIANNA,F,1.7,0.0,0.0,0.567,0.0,1.0,4.25,1.75,6.71,6.57,6.75,7.87,8.18,126.43,0.0
ABRIELLA,F,1.67,0.0,0.0,0.557,0.0,0.0,3.0,1.0,6.27,5.85,6.25,6.38,8.3,67.62,0.0
ABRIELLE,F,3.29,5.0,5.0,4.43,0.0,0.0,3.6,1.2,7.62,6.8,7.94,10.76,8.29,102.26,0.0
ABRIL,F,1.0,0.0,0.0,0.333,0.0,1.0,4.2,1.733,8.02,7.38,11.31,19.35,14.34,154.24,0.0
ABYGAIL,F,2.15,0.0,5.0,2.383,0.0,1.33,4.87,2.067,5.95,6.54,5.89,12.86,8.28,79.17,0.0
ACACIA,F,2.28,6.27,5.0,4.517,0.0,1.17,19.15,6.773,5.46,5.96,6.24,8.57,6.44,78.91,0.0
ACE,M,3.37,7.0,6.0,5.457,0.0,2.18,19.22,7.133,9.65,9.89,7.67,10.86,11.85,59.57,0.0
ACHILLES,M,1.9,0.0,5.0,2.3,0.0,1.0,4.25,1.75,6.66,5.65,6.64,10.53,8.78,35.06,0.0
ADA,F,5.35,8.97,89.0,34.44,3.5,5.05,64.8,24.45,19.75,16.34,8.72,10.14,25.82,679.97,5.44
ADAH,F,1.25,0.0,5.0,2.083,0.0,1.33,4.71,2.013,5.76,5.3,5.0,6.43,7.25,26.72,0.0
ADAIR,M,1.0,0.0,0.0,0.333,0.0,1.0,3.5,1.5,6.17,5.33,5.5,9.84,10.23,22.43,0.0
ADALBERTO,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01,6.48,7.21,19.89,8.59,45.68,0.0
ADALIA,F,1.73,0.0,6.0,2.577,0.0,0.0,3.8,1.267,6.26,5.06,0.0,8.88,7.5,25.77,0.0
ADALINE,F,1.86,5.0,0.0,2.287,0.0,1.0,10.5,3.833,10.82,9.46,10.35,12.94,10.77,36.24,0.0
ADALYN,F,7.7,11.4,6.0,8.367,0.0,2.0,8.2,3.4,23.01,28.81,14.46,23.11,35.82,366.25,0.0
ADALYNN,F,7.67,9.75,7.0,8.14,0.0,1.0,5.0,2.0,21.54,31.35,16.01,23.41,38.47,563.25,5.0
ADAM,M,135.48,121.02,19.0,91.833,215.58,253.55,2939.58,1136.237,116.32,168.57,78.7,168.35,117.04,3967.62,31.06
ADAN,M,1.71,0.0,5.0,2.237,0.0,1.25,11.74,4.33,8.88,11.12,15.52,40.56,16.38,237.16,0.0
ADARA,F,1.9,0.0,5.0,2.3,0.0,1.29,5.0,2.097,5.62,5.2,6.0,6.47,5.82,49.27,0.0
ADASYN,F,1.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.46,0.0
ADDA,F,1.0,0.0,0.0,0.333,0.0,1.0,0.0,0.333,5.89,0.0,0.0,0.0,0.0,12.66,0.0
ADDELYN,F,1.25,0.0,0.0,0.417,0.0,0.0,0.0,0.0,5.9,6.53,7.0,7.6,7.19,89.73,0.0
ADDIE,M,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333,5.12,0.0,0.0,0.0,0.0,10.26,0.0
ADDIE,F,1.7,0.0,6.0,2.567,0.0,1.33,5.0,2.11,13.79,6.74,6.32,6.0,20.1,319.96,0.0
ADDILYN,F,3.0,5.0,0.0,2.667,0.0,0.0,7.0,2.333,10.84,12.78,9.39,11.61,14.84,237.6,0.0
ADDISEN,F,1.29,0.0,5.0,2.097,0.0,1.0,0.0,0.333,8.0,6.18,6.17,6.89,6.75,49.14,0.0
ADDISON,M,4.48,5.4,10.0,6.627,3.0,1.93,38.74,14.557,8.07,7.97,7.83,11.85,10.22,91.66,0.0
ADDISON,F,40.13,49.75,10.0,33.293,4.0,7.25,36.07,15.773,81.87,119.49,54.36,72.01,123.42,3064.62,16.82
ADDISYN,F,6.75,7.0,12.0,8.583,0.0,1.0,3.0,1.333,11.55,15.93,9.41,14.91,18.41,341.43,0.0
ADDY,F,1.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,5.5,5.0,0.0,5.25,5.72,25.33,0.0
ADDYSEN,F,1.17,0.0,0.0,0.39,0.0,0.0,0.0,0.0,5.0,6.0,5.0,6.25,6.87,56.71,0.0
ADDYSON,F,7.69,8.0,10.0,8.563,0.0,1.0,4.0,1.667,17.54,25.27,11.92,17.49,30.37,515.85,0.0
ADELA,F,1.21,5.0,5.0,3.737,0.0,1.5,13.2,4.9,6.55,6.09,6.4,10.2,14.15,88.73,0.0
ADELAIDE,F,5.79,11.9,12.0,9.897,0.0,1.52,33.75,11.757,12.22,11.58,14.92,11.57,10.0,173.62,7.0
ADELBERT,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89,6.36,0.0,5.0,0.0,21.19,0.0
ADELE,F,4.23,7.75,10.0,7.327,4.08,34.71,90.75,43.18,16.15,10.75,6.71,10.0,7.31,285.32,0.0
ADELIA,F,1.5,0.0,0.0,0.5,0.0,1.0,4.6,1.867,6.18,5.59,5.0,6.28,5.46,35.56,0.0
ADELINA,F,2.46,6.0,6.0,4.82,0.0,1.3,14.44,5.247,7.68,7.57,7.28,10.19,10.72,72.71,0.0
ADELINE,F,4.86,8.36,15.0,9.407,0.0,1.54,13.0,4.847,15.71,25.78,10.13,14.74,12.6,346.6,6.29
ADELITA,F,1.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,5.0,0.0,6.0,7.37,12.0,18.86,0.0
ADELLA,F,2.0,0.0,5.0,2.333,0.0,1.0,3.6,1.533,6.51,6.26,5.0,6.88,6.05,38.99,0.0
ADELLE,F,2.57,6.5,5.0,4.69,0.0,5.63,11.85,5.827,5.98,6.55,6.12,6.9,6.48,38.45,0.0
ADELYN,F,7.64,10.83,5.0,7.823,0.0,1.0,7.4,2.8,17.15,22.67,13.73,21.54,22.64,161.57,0.0
ADELYNN,F,3.64,7.5,15.0,8.713,0.0,1.0,5.5,2.167,11.42,15.64,9.24,18.7,16.11,246.75,0.0
ADEN,M,7.09,7.86,5.0,6.65,3.0,3.62,38.68,15.1,17.56,18.82,12.43,23.39,27.91,168.04,5.0
ADENA,F,1.12,0.0,0.0,0.373,0.0,1.0,3.5,1.5,6.0,5.0,0.0,6.65,5.0,17.34,0.0
ADERYN,F,1.0,0.0,0.0,0.333,0.0,1.0,3.62,1.54,0.0,0.0,0.0,0.0,0.0,5.67,0.0
ADIA,F,1.86,5.0,5.0,3.953,0.0,1.0,4.73,1.91,6.31,5.85,5.67,6.3,6.82,56.33,0.0
ADIL,M,1.64,0.0,5.0,2.213,0.0,2.82,91.42,31.413,6.17,5.8,0.0,6.46,6.0,28.17,0.0
ADILENE,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.89,10.43,23.05,8.14,169.21,0.0
ADIN,M,1.9,0.0,5.0,2.3,0.0,1.27,4.0,1.757,6.1,6.23,6.4,7.76,6.93,41.16,0.0
ADINA,F,2.65,5.0,6.0,4.55,0.0,1.29,16.3,5.863,8.56,5.86,5.5,8.68,6.03,56.65,0.0
ADISON,F,3.0,7.0,6.0,5.333,0.0,1.0,0.0,0.333,7.01,8.1,6.94,7.96,7.93,118.12,0.0
ADISON,M,1.18,0.0,0.0,0.393,0.0,1.0,5.0,2.0,0.0,0.0,5.0,5.0,6.0,20.23,0.0
ADISYN,F,1.75,0.0,0.0,0.583,0.0,1.0,0.0,0.333,5.5,6.18,5.5,6.7,5.83,54.83,0.0
ADITI,F,2.0,0.0,8.0,3.333,0.0,1.18,18.35,6.51,7.94,7.33,5.5,11.71,8.2,73.71,0.0
ADITYA,M,3.29,5.0,6.0,4.763,0.0,2.19,31.61,11.267,10.22,7.71,8.25,16.56,8.95,117.89,0.0
ADLAI,M,1.0,0.0,0.0,0.333,0.0,1.0,0.0,0.333,0.0,6.0,0.0,0.0,0.0,10.54,0.0
ADLER,M,1.55,0.0,6.0,2.517,0.0,1.0,0.0,0.333,5.74,7.21,6.0,10.37,6.05,55.0,0.0
ADLEY,F,3.0,5.0,7.0,5.0,0.0,0.0,0.0,0.0,7.18,9.59,6.0,8.56,8.96,93.37,0.0
ADLEY,M,1.0,0.0,0.0,0.333,0.0,1.0,5.62,2.207,0.0,0.0,0.0,0.0,5.5,8.97,0.0
ADNAN,M,2.2,0.0,5.0,2.4,0.0,2.11,57.11,19.74,6.25,6.83,0.0,7.35,5.5,45.18,0.0
ADOLF,M,1.2,0.0,5.0,2.067,0.0,0.0,0.0,0.0,6.73,5.89,0.0,0.0,6.27,16.21,0.0
ADOLFO,M,1.0,0.0,0.0,0.333,0.0,1.0,0.0,0.333,7.28,6.71,7.76,17.12,12.86,125.41,0.0
ADOLPH,M,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,11.81,12.5,6.26,9.71,8.38,139.58,0.0
ADOLPHE,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10.54,0.0
ADOLPHUS,M,1.0,0.0,5.0,2.0,0.0,1.0,0.0,0.333,6.39,5.0,0.0,0.0,5.96,31.45,0.0
ADON,M,1.0,0.0,0.0,0.333,0.0,1.2,4.45,1.883,5.75,0.0,0.0,5.0,5.5,18.74,0.0
ADONAI,M,1.5,0.0,0.0,0.5,0.0,1.0,6.67,2.557,5.33,0.0,6.0,7.91,6.08,24.59,0.0
ADONIS,M,1.53,0.0,5.0,2.177,0.0,1.0,4.56,1.853,9.45,7.53,7.1,9.37,8.97,98.74,0.0
ADORA,F,1.56,0.0,0.0,0.52,0.0,1.0,5.91,2.303,5.47,5.0,0.0,6.44,5.67,19.15,0.0
ADRIA,F,3.37,5.0,5.0,4.457,0.0,1.0,6.2,2.4,6.0,5.57,5.46,7.0,6.29,57.03,0.0
ADRIAN,F,1.82,0.0,0.0,0.607,0.0,10.0,3.0,4.333,8.47,7.37,6.08,9.66,9.61,142.45,0.0
ADRIAN,M,28.88,29.48,7.0,21.787,7.78,17.74,174.0,66.507,31.0,28.57,39.23,117.12,72.71,1607.12,5.25
ADRIANA,F,8.81,9.0,9.0,8.937,3.0,3.07,46.65,17.573,28.11,24.04,18.57,69.93,40.64,786.45,5.0
ADRIANE,F,1.2,0.0,5.0,2.067,0.0,1.0,4.0,1.667,7.6,6.77,5.71,8.16,6.99,78.74,0.0
ADRIANNA,F,12.27,10.35,8.0,10.207,4.0,2.68,21.7,9.46,24.52,23.12,13.51,26.8,29.87,430.22,5.75
ADRIANNE,F,1.79,5.0,5.0,3.93,0.0,1.5,7.9,3.133,7.77,7.67,7.33,10.45,8.05,135.07,0.0
ADRIANO,M,1.89,5.0,8.0,4.963,0.0,1.4,8.47,3.29,5.91,5.33,7.31,7.91,8.94,33.46,0.0
ADRIEL,M,2.18,5.5,5.0,4.227,0.0,1.33,12.46,4.597,10.53,8.54,15.13,19.02,13.29,148.98,0.0
ADRIEN,M,3.71,5.71,5.0,4.807,0.0,1.33,6.95,2.76,7.49,6.99,6.86,11.03,8.03,69.51,0.0
ADRIENNE,F,6.04,14.38,5.0,8.473,0.0,4.29,12.21,5.5,20.68,16.14,9.52,19.19,18.75,512.28,5.2
ADYN,M,1.57,0.0,5.0,2.19,0.0,1.0,0.0,0.333,6.17,5.82,6.5,7.58,6.81,72.25,0.0
ADYSEN,F,1.57,0.0,0.0,0.523,0.0,0.0,0.0,0.0,0.0,5.62,5.67,5.0,6.12,42.65,0.0
ADYSON,F,3.42,0.0,5.0,2.807,0.0,1.0,0.0,0.333,7.13,8.95,7.15,7.91,10.84,167.5,0.0
AEDAN,M,2.29,5.4,6.0,4.563,3.44,6.85,16.32,8.87,8.1,6.61,6.37,10.39,7.69,117.04,0.0
AEMILIA,F,1.0,0.0,0.0,0.333,0.0,1.0,4.78,1.927,0.0,0.0,0.0,0.0,0.0,8.7,0.0
AERIS,F,2.1,0.0,0.0,0.7,0.0,1.0,5.37,2.123,5.42,6.48,5.0,6.83,6.59,61.11,0.0
AESON,M,1.17,0.0,0.0,0.39,0.0,1.0,4.0,1.667,0.0,0.0,0.0,6.0,6.0,21.83,0.0
AFRICA,F,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.667,5.9,6.33,0.0,5.8,5.67,20.21,0.0
AFTON,M,1.0,0.0,0.0,0.333,0.0,1.0,0.0,0.333,0.0,0.0,5.5,0.0,5.33,11.68,0.0
AGATA,F,1.14,0.0,7.0,2.713,3.0,3.56,22.23,9.597,5.5,5.0,0.0,0.0,0.0,8.24,0.0
AGATHA,F,3.96,5.0,10.0,6.32,0.0,1.37,30.2,10.523,7.0,7.02,6.0,6.6,6.22,61.89,0.0
AGATHE,F,0.0,0.0,0.0,0.0,0.0,1.0,3.67,1.557,0.0,0.0,0.0,0.0,0.0,5.2,0.0
AGNES,F,1.95,18.25,193.0,71.067,0.0,7.29,44.45,17.247,50.87,47.52,11.93,16.67,35.55,1156.82,9.07
AGOSTINO,M,0.0,0.0,5.0,1.667,0.0,1.0,0.0,0.333,5.82,0.0,0.0,0.0,0.0,7.68,0.0
AGUSTIN,M,1.6,0.0,0.0,0.533,0.0,0.0,3.0,1.0,7.01,7.27,7.59,17.06,13.65,124.6,0.0
AHARON,M,1.0,0.0,0.0,0.333,0.0,1.0,6.22,2.407,11.38,0.0,0.0,6.56,6.33,35.4,0.0
AHMAD,M,10.12,6.55,5.0,7.223,5.0,4.45,114.0,41.15,13.6,12.05,5.68,12.04,11.87,253.21,0.0
AHMED,M,16.0,6.62,6.0,9.54,3.43,6.14,279.32,96.297,14.1,10.86,6.66,13.56,9.49,173.53,0.0
AHREN,M,1.0,0.0,0.0,0.333,0.0,1.43,3.67,1.7,5.0,0.0,0.0,5.5,5.0,18.0,0.0
AHUVA,F,1.0,0.0,0.0,0.333,0.0,0.0,4.0,1.333,11.77,0.0,0.0,0.0,0.0,25.38,0.0
AIDA,F,2.86,6.5,5.0,4.787,3.0,1.73,16.6,7.11,8.43,6.11,5.85,10.5,9.62,91.25,0.0
AIDAN,M,60.84,59.41,5.0,41.75,51.05,106.57,707.32,288.313,87.91,79.97,44.08,94.0,83.84,1769.39,14.76
AIDAN,F,3.33,6.0,7.0,5.443,0.0,2.1,3.75,1.95,6.43,5.82,6.62,8.15,7.48,67.97,0.0
AIDEEN,F,1.25,0.0,0.0,0.417,5.67,1.2,3.71,3.527,0.0,0.0,0.0,0.0,0.0,6.93,0.0
AIDEN,F,1.89,0.0,6.0,2.63,0.0,1.29,3.5,1.597,6.59,5.67,6.28,7.77,9.25,70.96,0.0
AIDEN,M,74.58,81.52,5.0,53.7,6.74,100.43,548.74,218.637,160.37,166.03,92.45,204.38,228.69,4632.95,23.27
AIDIN,M,1.43,0.0,7.0,2.81,0.0,1.29,0.0,0.43,5.5,6.67,0.0,6.12,5.0,33.61,0.0
AIDYN,M,2.64,0.0,5.0,2.547,0.0,2.26,5.5,2.587,8.07,7.92,6.01,9.53,9.37,174.67,0.0
AILA,F,3.36,7.25,9.0,6.537,0.0,11.35,27.47,12.94,6.57,6.78,5.0,7.68,7.25,49.43,0.0
AILEEN,F,2.1,6.74,30.0,12.947,4.25,23.59,6.6,11.48,10.66,8.96,9.03,20.68,11.95,251.5,5.0
AILENE,F,1.2,0.0,0.0,0.4,0.0,1.0,0.0,0.333,6.22,6.5,0.0,9.21,5.43,19.52,0.0
AILIE,F,1.0,0.0,0.0,0.333,0.0,8.1,3.67,3.923,0.0,6.2,0.0,0.0,0.0,10.56,0.0
AILIS,F,1.0,0.0,0.0,0.333,3.5,2.14,6.62,4.087,0.0,0.0,0.0,0.0,0.0,8.0,0.0
AILSA,F,1.0,0.0,5.0,2.0,3.5,34.76,27.65,21.97,0.0,0.0,0.0,0.0,0.0,10.26,0.0
AILYN,F,1.33,0.0,0.0,0.443,0.0,1.0,0.0,0.333,6.13,7.08,7.61,15.41,14.25,100.96,0.0
AIMEE,F,8.88,12.91,5.0,8.93,100.47,105.51,723.9,309.96,18.6,21.9,12.93,28.43,21.77,388.98,6.2
AIMI,F,1.0,0.0,0.0,0.333,0.0,2.59,3.89,2.16,0.0,0.0,0.0,0.0,0.0,7.18,0.0
AINE,F,1.17,0.0,6.0,2.39,42.79,3.74,30.95,25.827,6.61,5.0,0.0,6.89,5.0,28.6,0.0
AINSLEE,F,1.8,0.0,6.0,2.6,0.0,1.12,0.0,0.373,5.5,5.72,6.0,5.5,6.33,33.0,0.0
AINSLEY,F,13.29,11.77,7.0,10.687,0.0,12.82,4.91,5.91,13.05,17.32,11.41,15.59,18.21,271.37,0.0
AINSLEY,M,1.2,0.0,5.0,2.067,0.0,1.15,14.65,5.267,6.0,0.0,0.0,0.0,5.0,8.29,0.0
AINSLIE,F,1.53,0.0,5.0,2.177,0.0,3.72,4.0,2.573,0.0,6.8,0.0,0.0,0.0,16.1,0.0
AISHA,F,9.5,8.09,9.0,8.863,3.62,12.27,485.15,167.013,14.87,12.25,6.82,14.67,11.67,334.73,0.0
AISHAH,F,1.37,0.0,7.0,2.79,0.0,1.9,72.0,24.633,5.67,0.0,0.0,6.57,5.0,21.34,0.0
AISLIN,F,1.57,0.0,6.0,2.523,3.0,1.0,5.25,3.083,5.56,5.5,6.5,7.8,6.75,43.14,0.0
AISLING,F,1.75,0.0,5.0,2.25,20.05,3.76,38.9,20.903,5.94,0.0,0.0,6.86,5.0,30.53,0.0
AISLINN,F,2.68,5.33,5.0,4.337,7.24,2.19,10.11,6.513,6.3,5.62,5.83,7.99,8.21,79.0,0.0
AIYANA,F,2.5,5.2,5.0,4.233,0.0,1.55,13.89,5.147,10.48,8.56,8.23,11.77,10.63,179.83,0.0
AIYANNA,F,1.17,0.0,5.0,2.057,0.0,1.25,7.4,2.883,7.44,6.7,6.5,9.96,8.5,131.23,0.0
AIZA,F,2.67,6.0,5.0,4.557,0.0,3.15,73.06,25.403,8.64,6.4,0.0,10.11,12.67,33.0,0.0
AIZAH,F,2.33,0.0,6.0,2.777,0.0,3.8,61.14,21.647,8.84,9.0,0.0,5.5,7.67,23.2,0.0
AJA,F,1.6,5.4,5.0,4.0,0.0,1.0,3.67,1.557,8.51,8.02,5.31,13.86,7.49,181.36,0.0
AJAY,M,2.79,6.8,5.0,4.863,3.67,4.72,75.0,27.797,6.72,6.21,5.0,10.89,8.49,72.17,0.0
AKASH,M,1.89,6.55,6.0,4.813,0.0,1.64,26.47,9.37,6.74,6.19,0.0,13.33,6.98,49.15,0.0
AKEELAH,F,1.83,0.0,7.0,2.943,0.0,1.0,5.67,2.223,9.12,7.71,0.0,10.0,11.73,84.4,0.0
AKEEM,M,1.12,0.0,5.0,2.04,0.0,1.0,14.11,5.037,11.18,7.9,5.0,8.41,9.0,125.52,0.0
AKHIL,M,1.57,0.0,6.0,2.523,0.0,1.0,7.05,2.683,6.12,5.97,0.0,13.25,6.83,49.16,0.0
AKILAH,F,1.0,0.0,5.0,2.0,0.0,1.0,4.43,1.81,6.42,6.22,0.0,9.57,5.95,63.11,0.0
AKIM,M,0.0,0.0,0.0,0.0,0.0,2.0,4.7,2.233,6.75,0.0,0.0,5.0,0.0,11.65,0.0
AKIRA,F,2.56,5.0,5.0,4.187,0.0,2.0,16.37,6.123,8.9,8.22,6.03,8.33,8.47,134.0,0.0
AKIVA,M,1.0,0.0,5.0,2.0,0.0,0.0,7.72,2.573,10.34,0.0,0.0,7.17,5.0,36.17,0.0
AKSEL,M,2.27,5.0,0.0,2.423,0.0,1.0,6.56,2.52,6.4,6.47,5.75,7.33,7.62,46.32,0.0
AKSHARA,F,1.25,0.0,9.0,3.417,0.0,1.0,13.09,4.697,6.84,5.79,0.0,9.46,7.48,51.89,0.0
AKSHAY,M,1.37,0.0,5.0,2.123,0.0,1.11,20.58,7.23,6.25,7.56,0.0,11.96,5.85,45.29,0.0
AL,F,0.0,0.0,0.0,0.0,0.0,1.0,4.8,1.933,5.0,0.0,0.0,0.0,0.0,6.89,0.0
