name,gender,AB_avgVal,BC_avgVal,OT_avgVal,CN_avgVal,NI_avgVal,SC_avgVal,EW_avgVal,UK_avgVal,13_avgVal,BS_avgVal,FS_avgVal,PC_avgVal,TE_avgVal,USA_avgVal,VR_avgVal
EWEN,M,1.25,0.0,5.0,2.083,0.0,11.85,11.78,7.877,0.0,0.0,0.0,0.0,0.0,6.79,0.0
EYAL,M,0.0,0.0,5.0,1.667,0.0,0.0,3.25,1.083,6.75,0.0,0.0,6.0,0.0,9.94,0.0
EYTAN,M,1.0,0.0,0.0,0.333,0.0,1.0,3.33,1.443,5.71,0.0,0.0,5.0,0.0,9.41,0.0
EZEKIEL,M,8.0,9.0,7.0,8.0,0.0,1.82,50.26,17.36,13.26,18.37,19.21,35.63,19.93,241.56,5.0
EZEQUIEL,M,1.0,0.0,0.0,0.333,0.0,0.0,3.0,1.0,8.86,6.82,9.57,18.21,12.37,119.73,0.0
EZRA,M,12.0,15.78,5.0,10.927,11.67,3.12,89.84,34.877,13.49,17.21,20.06,31.28,16.65,265.0,7.18
FABIA,F,1.0,0.0,0.0,0.333,0.0,1.17,4.45,1.873,0.0,0.0,0.0,0.0,0.0,5.25,0.0
FABIAN,M,1.83,5.4,6.0,4.41,5.37,3.67,93.26,34.1,10.14,10.31,17.24,44.29,19.24,325.83,0.0
FABIANA,F,1.0,0.0,0.0,0.333,0.0,1.2,5.0,2.067,6.04,0.0,0.0,6.95,11.15,29.67,0.0
FABIEN,M,1.0,0.0,6.0,2.333,0.0,1.25,12.44,4.563,0.0,0.0,0.0,7.5,6.75,15.59,0.0
FABIENNE,F,1.0,0.0,0.0,0.333,0.0,1.33,7.19,2.84,6.54,0.0,0.0,5.0,6.0,10.8,0.0
FABIO,M,1.2,0.0,5.0,2.067,0.0,1.46,30.89,10.783,6.13,6.0,0.0,10.91,8.63,36.56,0.0
FABIOLA,F,1.0,0.0,0.0,0.333,0.0,0.0,3.43,1.143,6.7,8.04,7.07,20.94,12.12,81.06,0.0
FABRICE,M,1.0,0.0,0.0,0.333,0.0,1.0,3.0,1.333,6.4,0.0,0.0,0.0,6.25,12.74,0.0
