name,gender,IRE1911_AppRank
ADLAIDE,F,rare
ADLALIDE,F,uncommon
ADLEIADE,F,rare
ADLINE,F,uncommon
ADLISE,F,rare
ADMIRAL,M,rare
ADNNE,F,rare
ADO,M,rare
ADOLF,M,basic
ADOLINE,F,rare
ADOLLIS,F,rare
ADOLPH,M,common
ADOLPHE,M,uncommon
ADOLPHEN,M,rare
ADOLPHES,M,rare
ADOLPHINE,F,rare
ADOLPHUS,M,common
ADONIAH,M,rare
ADOPHUS,M,rare
ADORA,F,uncommon
ADORIS,F,rare
ADREW,M,uncommon
ADREW,F,rare
ADRIAN,F,rare
ADRIAN,M,common
ADRIANNA,F,rare
ADRIEN,M,rare
ADRIENNE,F,common
ADW,F,rare
ADWARD,M,uncommon
ADWENA,F,rare
ADY,F,uncommon
AE,F,rare
AEDAN,M,uncommon
AEDEEN,F,rare
AEI,F,rare
AEILEEN,F,rare
AELADE,F,rare
AELAKE,M,rare
AELEEN,F,rare
AELENA,F,rare
AELLIA,F,rare
AENAS,M,uncommon
AENCE,M,rare
AENEAS,F,uncommon
AENEAS,M,basic
AENGUS,M,rare
AENIAS,M,rare
AENIS,M,uncommon
AEO,M,rare
AERNE,M,rare
AEROIE,M,rare
AESOP,M,rare
AEURY,M,rare
AEVENA,F,rare
AEXANDER,M,uncommon
AFFANAH,F,rare
AFFIE,F,common
AFFORD,M,rare
AFFRA,F,uncommon
AFFRED,M,rare
AFFY,M,rare
AFNES,F,rare
AFRA,F,rare
AFRED,M,uncommon
AFRIC,F,uncommon
AFRICK,F,uncommon
AFRICK,M,rare
AFRIE,M,rare
AGAILS,F,rare
AGANES,F,rare
AGANESS,F,rare
AGANOS,F,rare
AGANS,F,rare
AGANUS,F,rare
AGARNES,F,rare
AGASTAN,M,rare
AGATA,F,uncommon
AGATH,F,uncommon
AGATHA,F,basic
AGATHE,F,rare
AGBELA,F,rare
AGENES,F,basic
AGENESS,F,rare
AGENIS,F,uncommon
AGENS,F,basic
AGENTS,F,rare
AGENUS,F,rare
AGES,M,rare
AGES,F,uncommon
AGGANIS,F,rare
AGGE,F,rare
AGGENESS,F,rare
AGGENS,F,rare
AGGIE,F,basic
AGGINES,F,common
AGGINESS,F,uncommon
AGGNERS,F,rare
AGGNES,F,common
AGGNESS,F,basic
AGGNIS,F,uncommon
AGGNUS,F,rare
AGGRES,F,rare
AGGY,F,uncommon
AGHNEIS,F,rare
AGIE,F,uncommon
AGIES,F,rare
AGINES,F,uncommon
AGINESS,F,common
AGLINA,F,rare
AGMES,F,uncommon
AGMONDISHAM,M,rare
AGNAS,F,basic
AGNASTATIA,F,rare
AGNATIOUS,M,rare
AGNATIUS,M,uncommon
AGNE,F,basic
AGNEA,F,rare
AGNEAS,M,rare
AGNEE,M,rare
AGNELINA,F,rare
AGNENS,F,uncommon
AGNERS,F,rare
AGNES,M,basic
AGNES,F,basic
AGNESA,F,uncommon
AGNESE,F,basic
AGNESGABRIAH,F,rare
AGNESS,M,uncommon
AGNESS,F,basic
AGNETTA,F,rare
AGNEUS,F,uncommon
AGNEW,M,common
AGNEW,F,common
AGNEWS,F,common
AGNIES,F,rare
AGNIEUS,M,rare
AGNIOS,F,rare
AGNIS,F,basic
AGNISS,F,uncommon
AGNNES,F,rare
AGNS,F,rare
AGNUES,F,rare
AGNUIS,F,rare
AGNUS,F,basic
AGOSIE,F,rare
AGOSTINA,M,uncommon
AGREALL,F,rare
AGRIE,F,rare
AGUES,F,basic
AGUINESS,F,rare
AGUISTINAE,F,rare
AGUNES,F,rare
AGUNIS,F,rare
AGUNS,F,rare
AGUS,F,rare
AGUSTA,F,basic
AGUSTA,M,uncommon
AGUSTAN,M,rare
AGUSTAS,M,rare
AGUSTIAN,M,rare
AGUSTIN,M,basic
AGUSTINE,M,basic
AGUSTINE,F,uncommon
AGUSTIS,M,rare
AGUSTUS,F,rare
AGUSTUS,M,basic
AHCIA,F,rare
AHEARNE,F,rare
AHEARNE,M,rare
AHEE,F,rare
AHER,F,rare
AHERN,M,rare
AHERNE,M,rare
AHERNE,F,rare
AHILUD,F,rare
AHMED,M,uncommon
AHRTUR,M,rare
AHTIE,M,rare
AIBHLIS,F,rare
AICE,F,uncommon
AICHIEBALD,M,rare
AICKEN,F,rare
AIDA,F,common
AIDAIN,M,rare
AIDAM,M,rare
AIDAN,M,basic
AIDAN,F,rare
AIDEEN,F,uncommon
AIDEN,F,rare
AIDEN,M,basic
AIDENNE,F,rare
AIDIAN,M,rare
AIDIE,F,rare
AIDON,M,rare
AIEDA,F,rare
AIEMY,F,rare
AIFENNA,M,rare
AIGHNEAS,F,rare
AIGLENN,F,rare
AIGNAIS,F,rare
AIGNEAS,F,rare
AIKEN,M,uncommon
AILA,F,rare
AILBE,M,basic
AILBIE,M,rare
AILEE,F,rare
AILEEN,F,basic
AILEENA,F,rare
AILEN,F,uncommon
AILEY,F,common
AILFRID,M,rare
AILIEN,F,rare
AILIENE,F,rare
AILIS,F,basic
AILLEEN,F,uncommon
AILLEN,F,rare
AILLIEN,F,rare
AILLIN,M,rare
AILNE,F,rare
AILPHE,M,rare
AILSE,F,rare
AILY,F,rare
AILYEEN,F,rare
AIMA,F,rare
AIMABLE,M,rare
AIME,F,rare
AIMEE,F,uncommon
AIMEEL,F,rare
AIMON,M,rare
AINA,F,rare
AINDRAN,M,rare
AINDREAS,M,common
AINDREAS,F,rare
AINDREIS,M,uncommon
AINDREMH,M,rare
AINDRIAS,M,uncommon
AINDRIS,M,rare
AINDRUS,M,rare
AINE,F,basic
AINELIE,F,rare
AINESLEY,M,rare
AINGEAL,F,rare
AINGIL,F,rare
AININE,F,rare
AINNA,F,uncommon
AINNE,F,basic
AINNE,M,rare
AINNIE,F,uncommon
AINO,F,rare
AINSLIE,M,uncommon
AINSWORTH,M,rare
AISEY,F,rare
AISLINN,F,rare
AITCHISON,M,rare
AITHEN,M,rare
AITHNE,F,rare
AITKEN,M,rare
AIYILA,F,rare
AIZZIE,F,rare
AJ,F,rare
AJAX,M,rare
AJOHN,M,rare
AKIN,M,rare
